hg19_id	minimal_biotype_hg19	index
h.1124	eRNA	38
h.1125	eRNA	27
h.1127	eRNA	63
h.1128	eRNA	68
h.1129	eRNA	54
h.1130	eRNA	12
h.1131	eRNA	42
h.1132	eRNA	31
h.1133	eRNA	168
h.1134	eRNA	37
h.1135	eRNA	33
h.1136	eRNA	44
h.1137	eRNA	63
h.1138	eRNA	68
h.1139	eRNA	78
h.1140	eRNA	24
h.1141	eRNA	46
h.1142	eRNA	181
h.1143	eRNA	61
h.1145	eRNA	107
h.1146	eRNA	87
h.1147	eRNA	81
h.1148	eRNA	73
h.1149	eRNA	82
h.1150	eRNA	56
h.1151	eRNA	82
h.1152	eRNA	30
h.1153	eRNA	26
h.1154	eRNA	17
h.1155	eRNA	39
h.1156	eRNA	6
h.1157	eRNA	75
h.1158	eRNA	66
h.1159	eRNA	38
h.1160	eRNA	34
h.1161	eRNA	7
h.1162	eRNA	40
h.1163	eRNA	93
h.1164	eRNA	93
h.1165	eRNA	30
h.1166	eRNA	14
h.1167	eRNA	23
h.1168	eRNA	19
h.1169	eRNA	53
h.1170	eRNA	15
h.1171	eRNA	17
h.1172	eRNA	46
h.1173	eRNA	114
h.1174	eRNA	42
h.1175	eRNA	23
h.1176	eRNA	63
h.1177	eRNA	18
h.1178	eRNA	23
h.1179	eRNA	10
h.1180	eRNA	50
h.1181	eRNA	50
h.1182	eRNA	166
h.1183	eRNA	105
h.1185	eRNA	33
h.1186	eRNA	19
h.1187	eRNA	40
h.1188	eRNA	11
h.1189	eRNA	37
h.1190	eRNA	175
h.1192	eRNA	10
h.1193	eRNA	29
h.1194	eRNA	12
h.1196	eRNA	44
h.1198	eRNA	135
h.1199	eRNA	17
h.1200	eRNA	62
h.1201	eRNA	43
h.1203	eRNA	8
h.1204	eRNA	18
h.1205	eRNA	19
h.1206	eRNA	17
h.1207	eRNA	295
h.1208	eRNA	3
h.1209	eRNA	86
h.1210	eRNA	7
h.1211	eRNA	12
h.1212	eRNA	106
h.1213	eRNA	73
h.1214	eRNA	37
h.1215	eRNA	94
h.1216	eRNA	101
h.1217	eRNA	65
h.1218	eRNA	96
h.1219	eRNA	14
h.1220	eRNA	59
h.1221	eRNA	19
h.1222	eRNA	43
h.1223	eRNA	324
h.1224	eRNA	103
h.1225	eRNA	229
h.1226	eRNA	171
h.1227	eRNA	54
h.1228	eRNA	4
h.1229	eRNA	103
h.1230	eRNA	19
h.1231	eRNA	5
h.1233	eRNA	15
h.1234	eRNA	4
h.1235	eRNA	16
h.1236	eRNA	54
h.1237	eRNA	95
h.1238	eRNA	65
h.1239	eRNA	48
h.1240	eRNA	24
h.1241	eRNA	19
h.1242	eRNA	52
h.1243	eRNA	128
h.1244	eRNA	129
h.1245	eRNA	42
h.1246	eRNA	30
h.1247	eRNA	40
h.1248	eRNA	169
h.1249	eRNA	33
h.1250	eRNA	16
h.1251	eRNA	34
h.1252	eRNA	31
h.1253	eRNA	40
h.1254	eRNA	14
h.1255	eRNA	134
h.1256	eRNA	26
h.1257	eRNA	52
h.1258	eRNA	82
h.1259	eRNA	16
h.1260	eRNA	31
h.1261	eRNA	117
h.1262	eRNA	11
h.1263	eRNA	39
h.1264	eRNA	91
h.1265	eRNA	31
h.1267	eRNA	59
h.1268	eRNA	23
h.1269	eRNA	54
h.1270	eRNA	10
h.1272	eRNA	23
h.1273	eRNA	64
h.1274	eRNA	114
h.1275	eRNA	8
h.1276	eRNA	113
h.1277	eRNA	33
h.1278	eRNA	11
h.1279	eRNA	118
h.1280	eRNA	347
h.1281	eRNA	16
h.1282	eRNA	158
h.1283	eRNA	19
h.1284	eRNA	16
h.1286	eRNA	4
h.1287	eRNA	22
h.1288	eRNA	127
h.1289	eRNA	47
h.1290	eRNA	24
h.1291	eRNA	20
h.1292	eRNA	46
h.1293	eRNA	28
h.1294	eRNA	11
h.1295	eRNA	26
h.1296	eRNA	162
h.1297	eRNA	120
