orth_id	hESC_rep1	hESC_rep2	hESC_rep3	mESC_rep1	mESC_rep2	mESC_rep3
ENSG00000187961__ENSMUSG00000078485	660	696	463	92	50	100
ENSG00000187642__ENSMUSG00000078486	9	19	19	10	3	11
ENSG00000187608__ENSMUSG00000035692	1444	1027	749	294	69	65
ENSG00000188157__ENSMUSG00000041936	8942	11535	9946	7173	5355	6431
ENSG00000131591__ENSMUSG00000059939	470	520	456	853	703	1027
ENSG00000207730__ENSMUSG00000065549	0	1	0	0	0	0
ENSG00000207607__ENSMUSG00000065400	0	1	2	0	2	0
ENSG00000162571__ENSMUSG00000029074	30	40	23	13	4	10
ENSG00000186891__ENSMUSG00000041954	23	34	18	26	18	24
ENSG00000186827__ENSMUSG00000029075	0	1	0	9	6	17
ENSG00000078808__ENSMUSG00000029076	5009	5483	4484	2184	2126	2153
ENSG00000176022__ENSMUSG00000050796	1147	1262	1173	150	188	156
ENSG00000184163__ENSMUSG00000023571	36	56	47	123	99	114
ENSG00000160087__ENSMUSG00000023286	3390	3731	3122	1131	1079	1094
ENSG00000131584__ENSMUSG00000029033	991	1077	924	237	205	212
ENSG00000169972__ENSMUSG00000051557	1212	1471	1193	299	273	307
ENSG00000127054__ENSMUSG00000029034	7489	7882	5982	991	896	1030
ENSG00000224051__ENSMUSG00000029073	617	775	768	152	149	131
ENSG00000169962__ENSMUSG00000029072	6	11	11	0	0	2
ENSG00000107404__ENSMUSG00000029071	3330	3255	2694	518	491	629
ENSG00000162576__ENSMUSG00000029070	587	671	574	28	34	61
ENSG00000175756__ENSMUSG00000065990	6620	7103	5452	1212	1113	1203
ENSG00000221978__ENSMUSG00000029068	4776	4869	5794	1917	1954	3034
ENSG00000242485__ENSMUSG00000029066	7354	7553	6285	1018	1043	906
ENSG00000235098__ENSMUSG00000078487	28	22	26	5	6	4
ENSG00000205116__ENSMUSG00000073680	2	2	5	3	0	0
ENSG00000179403__ENSMUSG00000042116	3451	4251	3646	2	0	4
ENSG00000197785__ENSMUSG00000029036	4375	4615	3521	1896	1718	1920
ENSG00000205090__ENSMUSG00000084845	42	47	30	1	6	16
ENSG00000160075__ENSMUSG00000029038	7985	8793	7046	2367	2420	2720
ENSG00000228594__ENSMUSG00000074738	612	761	594	0	0	0
ENSG00000197530__ENSMUSG00000029060	854	823	622	888	751	924
ENSG00000189409__ENSMUSG00000029061	1	3	0	179	104	137
ENSG00000248333__ENSMUSG00000029062	1985	1954	2052	2285	2020	2295
ENSG00000189339__ENSMUSG00000042202	2593	2618	2434	471	531	603
ENSG00000008128__ENSMUSG00000029062	79	95	112	2285	2020	2295
ENSG00000008130__ENSMUSG00000029063	2911	2802	2527	2017	1953	2119
ENSG00000078369__ENSMUSG00000029064	28742	28996	26389	8160	8255	9408
ENSG00000178821__ENSMUSG00000023153	407	400	323	4	4	8
ENSG00000142609__ENSMUSG00000078490	17	16	21	1	0	0
ENSG00000187730__ENSMUSG00000029054	50	77	80	16	7	11
ENSG00000067606__ENSMUSG00000029053	2070	1931	1545	1306	1183	1504
ENSG00000157933__ENSMUSG00000029050	6401	7421	6735	1696	1791	1768
ENSG00000116151__ENSMUSG00000029049	138	149	122	122	111	151
ENSG00000157916__ENSMUSG00000029048	4666	5065	4504	1841	1740	1950
ENSG00000157911__ENSMUSG00000029047	1717	1794	1361	233	224	314
ENSG00000149527__ENSMUSG00000029055	6	14	10	10	9	13
ENSG00000157881__ENSMUSG00000029056	1772	1768	1216	401	384	500
ENSG00000197921__ENSMUSG00000048001	1	4	3	0	0	0
ENSG00000157873__ENSMUSG00000042333	6	9	14	1	3	3
ENSG00000157870__ENSMUSG00000029059	3838	4083	3095	190	196	213
ENSG00000142606__ENSMUSG00000058183	13	18	12	4	9	16
ENSG00000215912__ENSMUSG00000046637	7	3	7	4	3	6
ENSG00000169717__ENSMUSG00000051276	0	0	1	0	0	0
ENSG00000142611__ENSMUSG00000039410	73	49	45	510	588	768
ENSG00000130762__ENSMUSG00000029032	2087	2359	1923	704	440	631
ENSG00000162591__ENSMUSG00000057751	484	423	369	47	65	87
ENSG00000158109__ENSMUSG00000029030	3216	3500	2823	903	985	1086
ENSG00000116213__ENSMUSG00000029029	1523	1537	1325	411	348	382
ENSG00000078900__ENSMUSG00000029026	116	147	89	222	214	292
ENSG00000162592__ENSMUSG00000039492	22	22	19	0	1	1
ENSG00000235169__ENSMUSG00000078350	44	43	26	36	46	55
ENSG00000130764__ENSMUSG00000029028	7398	7458	6276	1123	1166	1081
ENSG00000116198__ENSMUSG00000039523	1920	1970	2108	694	677	766
ENSG00000169598__ENSMUSG00000029027	818	747	695	257	195	297
ENSG00000198912__ENSMUSG00000047613	1566	1619	1716	554	604	545
ENSG00000196581__ENSMUSG00000039546	334	344	419	0	0	1
ENSG00000131697__ENSMUSG00000039577	1152	1064	1106	234	244	321
ENSG00000069424__ENSMUSG00000028931	599	584	340	69	108	111
ENSG00000116254__ENSMUSG00000005045	176	206	192	190	200	309
ENSG00000116251__ENSMUSG00000028936	28790	27682	32347	12286	12734	14596
ENSG00000158286__ENSMUSG00000058498	63	69	54	31	36	65
ENSG00000116237__ENSMUSG00000039662	16067	16501	14221	929	900	815
ENSG00000173673__ENSMUSG00000028946	234	309	276	0	0	0
ENSG00000158292__ENSMUSG00000042804	423	404	271	9	16	9
ENSG00000097021__ENSMUSG00000028937	12520	12560	8820	1273	1247	1288
ENSG00000069812__ENSMUSG00000028940	6	15	18	2	1	3
ENSG00000187017__ENSMUSG00000028943	625	419	455	58	56	108
ENSG00000215788__ENSMUSG00000024793	262	248	244	13	17	22
ENSG00000171680__ENSMUSG00000039713	1098	1413	918	1132	1176	1469
ENSG00000162408__ENSMUSG00000028948	1907	1970	2264	2424	2253	2201
ENSG00000173662__ENSMUSG00000028950	8	8	5	78	97	102
ENSG00000204859__ENSMUSG00000028952	1273	1360	1124	333	335	366
ENSG00000162413__ENSMUSG00000073700	3986	3913	3396	825	915	997
ENSG00000116273__ENSMUSG00000047777	3248	4041	3339	1069	1126	1182
ENSG00000041988__ENSMUSG00000039759	810	821	621	334	259	375
ENSG00000007923__ENSMUSG00000039768	6018	6777	5914	3304	2865	3361
ENSG00000171735__ENSMUSG00000014592	2029	1947	2001	283	285	411
ENSG00000049245__ENSMUSG00000028955	3022	2561	3280	713	711	793
ENSG00000049246__ENSMUSG00000028957	811	414	1002	44	44	78
ENSG00000049247__ENSMUSG00000028963	4	2	2	0	0	0
ENSG00000049249__ENSMUSG00000028965	1	1	3	0	4	9
ENSG00000116288__ENSMUSG00000028964	15685	16488	14608	3275	3149	3288
ENSG00000116285__ENSMUSG00000028967	4950	5432	7412	238	241	282
ENSG00000162426__ENSMUSG00000039838	165	202	172	4	1	2
ENSG00000142599__ENSMUSG00000039852	7424	8736	8049	3494	3112	3912
ENSG00000074800__ENSMUSG00000059040	192737	200567	152699	164	152	175
ENSG00000074800__ENSMUSG00000063524	192737	200567	152699	20384	21616	18980
ENSG00000131686__ENSMUSG00000028972	0	1	1	5	8	4
ENSG00000197241__ENSMUSG00000062064	3	2	3	10	18	12
ENSG00000142583__ENSMUSG00000028976	6	10	9	27	25	32
ENSG00000252404__ENSMUSG00000088529	0	0	0	0	0	0
ENSG00000180758__ENSMUSG00000047875	277	198	133	11	21	45
ENSG00000049239__ENSMUSG00000028980	1088	879	683	1441	1332	1445
ENSG00000171621__ENSMUSG00000039911	117	129	112	80	104	175
ENSG00000171612__ENSMUSG00000028982	1960	2134	1934	552	550	745
ENSG00000188807__ENSMUSG00000044700	2378	3017	2457	1914	1700	1929
ENSG00000171608__ENSMUSG00000039936	2010	2040	2039	453	373	533
ENSG00000171603__ENSMUSG00000039953	8256	9552	8049	6737	6333	8345
ENSG00000178585__ENSMUSG00000028988	2878	2727	2101	238	243	256
ENSG00000162441__ENSMUSG00000028990	1142	1001	1418	761	710	814
ENSG00000173614__ENSMUSG00000028992	283	312	305	147	161	155
ENSG00000162444__ENSMUSG00000028996	76	114	75	4	5	2
ENSG00000130939__ENSMUSG00000028960	9033	8375	9565	3640	3767	4141
ENSG00000201746__ENSMUSG00000084696	0	0	1	0	0	0
ENSG00000054523__ENSMUSG00000063077	8231	4971	10357	1277	1242	1688
ENSG00000199562__ENSMUSG00000088748	0	0	0	0	0	0
ENSG00000142657__ENSMUSG00000028961	35108	36288	30570	8959	8623	7076
ENSG00000175279__ENSMUSG00000073705	194	179	250	316	353	354
ENSG00000241563__ENSMUSG00000028971	6	10	9	1	4	1
ENSG00000160049__ENSMUSG00000028974	9439	10542	8748	502	391	459
ENSG00000142655__ENSMUSG00000028975	1623	1742	1279	468	416	475
ENSG00000175262__ENSMUSG00000070577	6	5	6	1	0	0
ENSG00000120948__ENSMUSG00000041459	16051	12261	24218	6712	8660	8951
ENSG00000009724__ENSMUSG00000028979	32	23	49	62	91	124
ENSG00000116649__ENSMUSG00000006442	9206	12650	10350	2503	2751	2654
ENSG00000171824__ENSMUSG00000017264	5821	5294	6481	2455	2383	2541
ENSG00000198793__ENSMUSG00000028991	12359	10345	11164	1834	1904	2174
ENSG00000171819__ENSMUSG00000028989	1	2	1	0	0	1
ENSG00000207451__ENSMUSG00000088044	0	0	0	0	0	0
ENSG00000120942__ENSMUSG00000047719	2684	2824	2299	247	276	333
ENSG00000204624__ENSMUSG00000041544	343	362	291	1	4	10
ENSG00000116661__ENSMUSG00000041556	2239	2333	1783	40	53	79
ENSG00000116663__ENSMUSG00000055401	74	69	76	823	894	1030
ENSG00000116670__ENSMUSG00000029003	13932	13964	10138	598	517	590
ENSG00000162490__ENSMUSG00000029005	2819	3031	2587	15	10	22
ENSG00000177674__ENSMUSG00000029007	3026	2764	2110	3276	2938	3107
ENSG00000177000__ENSMUSG00000029009	2017	1469	1409	941	947	1067
ENSG00000011021__ENSMUSG00000029016	3227	2318	2854	1265	1346	1802
ENSG00000175206__ENSMUSG00000041616	9	6	16	0	2	1
ENSG00000120937__ENSMUSG00000029019	183	132	224	65	64	52
ENSG00000116685__ENSMUSG00000044496	4005	3966	3099	1756	1571	1708
ENSG00000083444__ENSMUSG00000019055	6700	6811	5144	1867	1733	2219
ENSG00000116688__ENSMUSG00000029020	10660	11038	8943	679	597	724
ENSG00000116691__ENSMUSG00000029022	3576	3173	2439	1169	1178	1388
ENSG00000202461__ENSMUSG00000088825	7	4	5	0	0	0
ENSG00000120949__ENSMUSG00000028602	3670	4187	3498	265	284	250
ENSG00000028137__ENSMUSG00000028599	199	192	144	623	429	683
ENSG00000048707__ENSMUSG00000020220	3128	1476	3615	1440	1429	1968
ENSG00000162496__ENSMUSG00000066026	644	598	704	105	107	148
ENSG00000221340__ENSMUSG00000080566	2	0	0	0	0	0
ENSG00000204518__ENSMUSG00000070609	1	1	2	0	0	0
ENSG00000204518__ENSMUSG00000041735	1	1	2	0	0	0
ENSG00000204518__ENSMUSG00000028593	1	1	2	0	0	0
