orth_id	hESC_rep1	hESC_rep1.UT	hESC_rep2	hESC_rep2.UT	hESC_rep3	hESC_rep3.UT	mESC_rep1	mESC_rep1.UT	mESC_rep2	mESC_rep2.UT	mESC_rep3	mESC_rep3.UT
ENSG00000187961__ENSMUSG00000078485	660	248	696	147	463	186	92	95	50	59	100	96
ENSG00000187642__ENSMUSG00000078486	9	8	19	4	19	2	10	7	3	8	11	13
ENSG00000187608__ENSMUSG00000035692	1444	195	1027	175	749	217	294	0	69	0	65	0
ENSG00000188157__ENSMUSG00000041936	8942	3175	11535	3470	9946	4203	7173	5970	5355	5382	6431	5628
ENSG00000131591__ENSMUSG00000059939	470	181	520	147	456	191	853	1048	703	980	1027	1276
ENSG00000207730__ENSMUSG00000065549	0	0	1	0	0	0	0	1	0	0	0	0
ENSG00000207607__ENSMUSG00000065400	0	0	1	0	2	1	0	0	2	0	0	0
ENSG00000162571__ENSMUSG00000029074	30	12	40	11	23	8	13	8	4	6	10	9
ENSG00000186891__ENSMUSG00000041954	23	4	34	6	18	4	26	43	18	30	24	54
ENSG00000186827__ENSMUSG00000029075	0	1	1	0	0	1	9	11	6	11	17	10
ENSG00000078808__ENSMUSG00000029076	5009	1380	5483	1620	4484	1777	2184	1652	2126	2251	2153	2046
ENSG00000176022__ENSMUSG00000050796	1147	339	1262	359	1173	475	150	122	188	142	156	139
ENSG00000184163__ENSMUSG00000023571	36	6	56	10	47	9	123	78	99	75	114	85
ENSG00000160087__ENSMUSG00000023286	3390	976	3731	1214	3122	1372	1131	841	1079	1096	1094	1051
ENSG00000131584__ENSMUSG00000029033	991	438	1077	352	924	361	237	161	205	169	212	130
ENSG00000169972__ENSMUSG00000051557	1212	300	1471	379	1193	463	299	219	273	283	307	255
ENSG00000127054__ENSMUSG00000029034	7489	2279	7882	2388	5982	2525	991	832	896	1067	1030	1170
ENSG00000224051__ENSMUSG00000029073	617	163	775	205	768	283	152	90	149	147	131	85
ENSG00000169962__ENSMUSG00000029072	6	5	11	2	11	4	0	2	0	1	2	5
ENSG00000107404__ENSMUSG00000029071	3330	940	3255	832	2694	1139	518	525	491	515	629	597
ENSG00000162576__ENSMUSG00000029070	587	139	671	162	574	178	28	29	34	34	61	54
ENSG00000175756__ENSMUSG00000065990	6620	1625	7103	1789	5452	2150	1212	929	1113	1131	1203	1145
ENSG00000221978__ENSMUSG00000029068	4776	2684	4869	2582	5794	2220	1917	2682	1954	2524	3034	3687
ENSG00000242485__ENSMUSG00000029066	7354	2014	7553	2275	6285	2403	1018	679	1043	969	906	933
ENSG00000235098__ENSMUSG00000078487	28	10	22	6	26	6	5	4	6	1	4	2
ENSG00000205116__ENSMUSG00000073680	2	0	2	0	5	4	3	1	0	2	0	2
ENSG00000179403__ENSMUSG00000042116	3451	735	4251	734	3646	927	2	1	0	1	4	5
ENSG00000197785__ENSMUSG00000029036	4375	1334	4615	1334	3521	1626	1896	1729	1718	1810	1920	1864
ENSG00000205090__ENSMUSG00000084845	42	14	47	11	30	12	1	8	6	6	16	9
ENSG00000160075__ENSMUSG00000029038	7985	2381	8793	2682	7046	2977	2367	1725	2420	2125	2720	2483
ENSG00000228594__ENSMUSG00000074738	612	170	761	166	594	248	0	0	0	0	0	0
ENSG00000197530__ENSMUSG00000029060	854	220	823	259	622	266	888	851	751	977	924	1022
ENSG00000189409__ENSMUSG00000029061	1	1	3	0	0	0	179	84	104	66	137	71
ENSG00000248333__ENSMUSG00000029062	1985	648	1954	775	2052	733	2285	1927	2020	2401	2295	2477
ENSG00000189339__ENSMUSG00000042202	2593	933	2618	982	2434	1117	471	511	531	538	603	593
ENSG00000008128__ENSMUSG00000029062	79	50	95	36	112	48	2285	1927	2020	2401	2295	2477
