logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000115112__ENSMUSG00000026380	7.14817222933178	7.18157602116018	52.4843801749838	6.47411994513256e-17	1.73814040889195e-13	28.4926099797447
ENSG00000188375__ENSMUSG00000016559	6.43019132746049	5.98309147982716	50.2242581100095	1.1649590963622e-16	1.73814040889195e-13	27.7663661733876
ENSG00000087303__ENSMUSG00000021806	5.48278516007526	6.10049496689194	45.3081380546493	4.60176329362729e-16	2.81130661539978e-13	26.7843541024347
ENSG00000035403__ENSMUSG00000021823	-4.47750505609762	8.11217171083354	-43.1813832002719	8.73227682208621e-16	3.14988898290023e-13	26.4057237597304
ENSG00000161960__ENSMUSG00000059796	8.172683534025	6.79721875734372	44.2197060390935	6.36287132991772e-16	2.85265518651254e-13	26.3600662354209
ENSG00000099290__ENSMUSG00000024104	5.54570604387995	5.31653253820217	44.2165062204716	6.3690093129613e-16	2.85265518651254e-13	26.2793689969681
ENSG00000263809__ENSMUSG00000060938	10.1742338554003	4.35540358619062	50.4075390278723	1.10969035656823e-16	1.73814040889195e-13	25.9057522928507
ENSG00000182890__ENSMUSG00000021794	6.49846911620242	5.23636689218144	42.8960838105688	9.53833874601034e-16	3.2718487092567e-13	25.8787351514134
ENSG00000112306__ENSMUSG00000067038	-7.245293880772	6.94621239342319	-40.7913140751593	1.86374004101061e-15	3.97259013589958e-13	25.3324417783859
ENSG00000230667__ENSMUSG00000054766	8.37130413231676	6.18616891576924	39.476016685711	2.88261716901358e-15	5.10916397192946e-13	24.9021284493293
ENSG00000149573__ENSMUSG00000032092	6.99502543563832	4.43287416869944	40.9395411330395	1.77590210563326e-15	3.91716504438007e-13	24.8985941677119
ENSG00000121570__ENSMUSG00000058550	-4.05823282483357	7.84945405742697	-38.0316333168714	4.73224652874683e-15	6.86322104808355e-13	24.8539946382705
ENSG00000086475__ENSMUSG00000026662	-3.85427840983356	8.3954995064113	-36.9745821922085	6.88291524459453e-15	8.67627424949732e-13	24.5383427235399
ENSG00000203909__ENSMUSG00000060461	11.5913369770485	5.42164460271882	41.8546714514496	1.32315171179385e-15	3.49247441349407e-13	24.5143262694629
ENSG00000204469__ENSMUSG00000024393	5.79601448417592	5.79918098774508	36.9381065557266	6.97377750562988e-15	8.68204442028328e-13	24.3499515166413
ENSG00000188910__ENSMUSG00000042367	7.73147670126595	4.22044267995756	38.6545558992447	3.81288310222735e-15	5.92403975323631e-13	24.2534546973351
ENSG00000141665__ENSMUSG00000034391	7.63330713598775	4.33677128046468	38.6400109791116	3.83201320404111e-15	5.92403975323631e-13	24.2070463763752
ENSG00000240972__ENSMUSG00000033307	9.38986356053779	4.24857082894976	40.3076954038069	2.18432634030829e-15	4.35923171742976e-13	24.1261604712492
ENSG00000198804__ENSMUSG00000064351	20.08593892874	3.78983177348806	68.9719475170627	1.68190586038428e-18	2.36610516438861e-14	24.0647598694936
ENSG00000255192__ENSMUSG00000012396	4.9879749616698	7.26377683052134	35.6727446597995	1.10802606001269e-14	1.18088716759534e-12	24.0631923772408
ENSG00000154721__ENSMUSG00000053062	6.32332534415034	5.91397789570105	35.7165442772888	1.09011809193294e-14	1.17067032956584e-12	23.9201379653412
ENSG00000198225__ENSMUSG00000032966	6.30395081721287	4.58762210788406	35.9941271575656	9.83610444421606e-15	1.07266912652118e-12	23.7542893610262
ENSG00000179412__ENSMUSG00000060373	15.9614006251994	1.74595809981825	57.5352433453859	1.89803504526615e-17	1.33507785084021e-13	23.3903164509048
ENSG00000087086__ENSMUSG00000062382	-7.36252493595369	6.96201629662554	-34.0094611384815	2.08821987697608e-14	1.91666881855822e-12	23.2789488219506
ENSG00000115414__ENSMUSG00000026193	4.34640579409273	9.69885319243205	33.3470698991438	2.71062491253816e-14	2.2300041678121e-12	23.2663559937549
ENSG00000204644__ENSMUSG00000036036	15.4968425495552	1.58880816001774	55.5565122696501	3.02913657033232e-17	1.42046310904784e-13	23.2454044134942
ENSG00000204256__ENSMUSG00000024335	4.74623067191493	5.60937407045168	33.3278655405384	2.7314094500722e-14	2.23403884555905e-12	23.1349928684574
ENSG00000178127__ENSMUSG00000024099	7.52499318056173	3.76765300234876	36.0128745314604	9.76831646725967e-15	1.07266912652118e-12	23.0981946315278
ENSG00000182481__ENSMUSG00000066878	-7.3445331939086	5.88538189171047	-34.4879658633569	1.73488102733411e-14	1.64907474949569e-12	23.0884069053466
ENSG00000074800__ENSMUSG00000059040	-8.63958232512925	7.44006606408814	-33.3939364019011	2.66061165397837e-14	2.2300041678121e-12	23.016553404243
ENSG00000248672__ENSMUSG00000026980	14.699752455325	1.15653732090447	51.7466996226271	7.82052448494677e-17	1.73814040889195e-13	22.929811098802
ENSG00000008128__ENSMUSG00000029062	5.99944247958513	4.06933624886732	33.8155323610584	2.25278682396152e-14	1.99322044273526e-12	22.8868389703574
ENSG00000112081__ENSMUSG00000078134	-7.6227026751364	5.67453232479685	-34.1751530194668	1.95782752099925e-14	1.82402103082235e-12	22.8653487609395
ENSG00000272333__ENSMUSG00000006307	14.3926673437127	0.924216150806198	50.8754482792642	9.8096715307703e-17	1.73814040889195e-13	22.8464101213162
ENSG00000268861__ENSMUSG00000004568	13.9601446914724	0.732647795452012	50.3706246649013	1.12059118437552e-16	1.73814040889195e-13	22.7899960068266
ENSG00000124766__ENSMUSG00000076431	-6.08940559375585	5.06605831172646	-33.7097719109888	2.34835770435186e-14	2.04947102404734e-12	22.755857330848
ENSG00000170873__ENSMUSG00000022353	4.75364353568617	4.67998764752904	32.5852225593339	3.68235888849495e-14	2.79156335119508e-12	22.719060009875
ENSG00000257411__ENSMUSG00000025364	15.7143913688919	1.60406237659065	49.1287145435649	1.56350586217333e-16	1.73814040889195e-13	22.7127829150899
ENSG00000249209__ENSMUSG00000022956	14.6636741418753	1.05064339910235	49.298521072836	1.49316895268465e-16	1.73814040889195e-13	22.7083364162097
ENSG00000268223__ENSMUSG00000073568	13.6663275065701	0.533834294089211	49.434997275566	1.43910192511825e-16	1.73814040889195e-13	22.695592614794
ENSG00000092421__ENSMUSG00000019647	-7.29802353769009	5.37372234663789	-33.7672781753367	2.29586343270857e-14	2.01863792320901e-12	22.6673005147262
ENSG00000198300__ENSMUSG00000002265	13.9546704318399	0.870374018367601	49.0296305174969	1.60618604745489e-16	1.73814040889195e-13	22.6646950982368
ENSG00000137337__ENSMUSG00000061607	9.38155073992613	3.40416900975948	36.0497173162298	9.63655519500512e-15	1.07266912652118e-12	22.6535006445296
ENSG00000121236__ENSMUSG00000072244	4.26530018257511	6.40605828449113	31.9544860816266	4.77093987727751e-14	3.41190235422843e-12	22.6520448472004
ENSG00000266086__ENSMUSG00000018379	15.6208963035657	1.63071690923866	48.4282221280849	1.89362797627054e-16	1.7759705580116e-13	22.6425512030747
ENSG00000134996__ENSMUSG00000024725	4.26208678605632	5.85849642651188	31.9696716082452	4.74100678052533e-14	3.41190235422843e-12	22.6424488647735
ENSG00000261371__ENSMUSG00000020717	14.2842379931782	0.837907766760787	48.6513582571785	1.78100440082019e-16	1.7759705580116e-13	22.6362928131093
ENSG00000198786__ENSMUSG00000064367	17.2989019219734	2.41460762417749	47.8702126388789	2.21016169259892e-16	1.8301024955388e-13	22.6121984310378
ENSG00000092068__ENSMUSG00000022180	-5.56232036511806	5.51544494514	-32.5795506206973	3.69086425449449e-14	2.79156335119508e-12	22.6063585636177
ENSG00000139223__ENSMUSG00000032249	15.0775627085768	1.34731048600124	47.8679982967865	2.21152562014214e-16	1.8301024955388e-13	22.5762401157051
ENSG00000087903__ENSMUSG00000024206	5.07819660023668	4.13700800709324	32.2856903502958	4.16172619887753e-14	3.05729039115523e-12	22.4978698365633
ENSG00000272886__ENSMUSG00000021962	13.1607229708211	0.31130891080325	46.7491671522794	3.03151031328289e-16	2.35863817161279e-13	22.4100869438089
ENSG00000270647__ENSMUSG00000020680	13.8839564634193	0.794896429887012	46.5519458061082	3.20729168664047e-16	2.35863817161279e-13	22.4095895043307
ENSG00000069869__ENSMUSG00000032216	8.02459082128321	7.03660454726543	31.3700581923698	6.0922029571184e-14	3.94954429496505e-12	22.3833321409701
ENSG00000143458__ENSMUSG00000038766	4.21637961531109	4.38439802297022	31.6969028526446	5.31083173944265e-14	3.60931308746276e-12	22.3701956128709
ENSG00000249884__ENSMUSG00000053119	13.0228785858076	0.274237916918807	46.3968687615829	3.35319614957747e-16	2.35863817161279e-13	22.3674453158689
ENSG00000171794__ENSMUSG00000051396	6.9495188768959	3.5267741533122	32.9152833021533	3.22189731279966e-14	2.50417963516385e-12	22.3263156813258
ENSG00000265241__ENSMUSG00000038374	14.2479488938492	0.891894902625793	45.5447922314902	4.29307310674887e-16	2.74522511207923e-13	22.306431812054
ENSG00000128567__ENSMUSG00000025608	-5.51005063102966	8.23481812964547	-31.020232193369	7.06727931660657e-14	4.3992250188505e-12	22.2990244572977
ENSG00000258830__ENSMUSG00000025404	13.4072666839764	0.445828727403987	45.6511508251747	4.16165216498631e-16	2.74522511207923e-13	22.2968755072543
ENSG00000198888__ENSMUSG00000064341	17.7451231729926	2.59623398594227	44.92818238874	5.1483449956045e-16	2.81130661539978e-13	22.2934342264996
ENSG00000121691__ENSMUSG00000027187	10.9750862771262	2.89258784570653	36.8419244424085	7.21960488380738e-15	8.75563806081054e-13	22.2390390294907
ENSG00000119715__ENSMUSG00000021255	9.3135172711743	5.01435192563974	31.9278449663221	4.82394513683136e-14	3.41190235422843e-12	22.2131201282
ENSG00000198695__ENSMUSG00000064368	15.488224061038	1.49290431803718	44.4574712379836	5.92408804292447e-16	2.85265518651254e-13	22.2040774496393
ENSG00000147804__ENSMUSG00000063354	7.14432927874525	4.07181423100298	31.7803792598232	5.12901230858121e-14	3.53700711554512e-12	22.1985458191608
ENSG00000255339__ENSMUSG00000025204	13.1287735976711	0.286414183148846	44.8374502347719	5.28892749666731e-16	2.81130661539978e-13	22.1944718311082
ENSG00000141736__ENSMUSG00000062312	-4.68181259729322	6.656540087645	-30.9021180779309	7.43331368865187e-14	4.58648495491029e-12	22.1903853194167
ENSG00000204392__ENSMUSG00000007050	13.0372988838166	0.266194484711575	44.6965507488863	5.51547761586999e-16	2.81130661539978e-13	22.1748489411402
ENSG00000265808__ENSMUSG00000027879	12.5879518381195	0.0320915158526975	44.7816093305789	5.37749437584147e-16	2.81130661539978e-13	22.1676850794637
ENSG00000136826__ENSMUSG00000003032	7.13089554630609	4.91020254435943	31.3795324596276	6.06789260044513e-14	3.94954429496505e-12	22.1656921694918
ENSG00000223501__ENSMUSG00000024319	12.5975037920345	-0.0101597652701847	44.6483011057468	5.59543540170555e-16	2.81130661539978e-13	22.1524153927501
ENSG00000149591__ENSMUSG00000032085	-9.63867774986141	3.86564720006054	-34.7861389630413	1.54758492116847e-14	1.53319892049282e-12	22.1056641591288
ENSG00000114487__ENSMUSG00000022652	14.0389031663409	0.802639911891129	43.8536501849246	7.10807472680716e-16	2.85287254106754e-13	22.1001562959879
ENSG00000262633__ENSMUSG00000020946	12.5841615521603	0.0222218071111161	44.1546931752575	6.48883750130801e-16	2.85265518651254e-13	22.0926445878763
ENSG00000265491__ENSMUSG00000028098	12.7778949848762	0.195521058973717	43.8605135219921	7.09327045167227e-16	2.85287254106754e-13	22.0645783066405
ENSG00000198727__ENSMUSG00000064370	17.7901691136862	2.63391141125042	43.0596400524441	9.06691493215717e-16	3.18883398163968e-13	22.0613555235581
ENSG00000263001__ENSMUSG00000060261	14.2901091320466	0.858439089624959	43.3970368990843	8.17162434526277e-16	3.10698408889613e-13	22.048638631127
ENSG00000264522__ENSMUSG00000038495	12.3382622350574	-0.115632433049832	43.8030742620441	7.21819613699032e-16	2.85287254106754e-13	22.0374758924508
ENSG00000213780__ENSMUSG00000001524	12.2263377208929	-0.170380222418774	43.765813153065	7.30049839909237e-16	2.85287254106754e-13	22.0267277248594
ENSG00000122728__ENSMUSG00000031314	13.3177866442583	0.548090867514723	43.3042710926789	8.40790678533366e-16	3.11269559621247e-13	22.0125975461116
ENSG00000092377__ENSMUSG00000025246	4.45170823753633	4.91761970471364	30.4409471366042	9.0697805306799e-14	5.22924887318053e-12	21.9534040230838
ENSG00000204590__ENSMUSG00000024429	13.4450197299493	0.496698681893722	42.668899623532	1.02373479575425e-15	3.2718487092567e-13	21.9340076022225
ENSG00000250254__ENSMUSG00000020415	12.864885376525	0.160521593845835	42.8005476837781	9.82583316119406e-16	3.2718487092567e-13	21.9333878162944
ENSG00000160207__ENSMUSG00000002076	6.20047651431444	3.72088239602661	31.205806629209	6.53071174198614e-14	4.15672491256183e-12	21.929694768696
ENSG00000255073__ENSMUSG00000024695	13.2461820786597	0.421208350085137	42.4587643101849	1.09330456657304e-15	3.2718487092567e-13	21.9005442512669
ENSG00000261236__ENSMUSG00000022557	13.3940821877039	0.467032310368029	42.3922957561134	1.11635440748025e-15	3.2718487092567e-13	21.8959352174256
ENSG00000181826__ENSMUSG00000047881	7.0017663853322	4.20838233798752	31.2037000677221	6.53655114668255e-14	4.15672491256183e-12	21.8953119345927
ENSG00000259784__ENSMUSG00000036820	12.8662544372636	0.114426634319948	42.4922176595834	1.08189751774113e-15	3.2718487092567e-13	21.8929252252612
ENSG00000215695__ENSMUSG00000078515	12.7147281804993	0.110731965723915	42.4732448011304	1.08835117710508e-15	3.2718487092567e-13	21.8848828028462
ENSG00000266953__ENSMUSG00000002635	11.9769000034703	-0.251829305086342	42.6746245337972	1.0219072781063e-15	3.2718487092567e-13	21.8726522639312
ENSG00000180574__ENSMUSG00000035150	4.34068669853909	5.75389234507635	30.0876087882122	1.05845404448502e-13	5.86233523536034e-12	21.8628083748683
ENSG00000140416__ENSMUSG00000032366	-3.26970595292963	7.71995149936377	-29.9131259012854	1.14308293905911e-13	6.02835504577675e-12	21.8386889824443
ENSG00000269590__ENSMUSG00000005142	13.6652708657303	0.531476291698263	41.8167760845515	1.3392057435362e-15	3.49247441349407e-13	21.8250843599903
ENSG00000160505__ENSMUSG00000032999	12.2773949574947	-0.11644449542637	42.1358970607068	1.21028000795715e-15	3.47473860243698e-13	21.8197119885054
