rep1	rep2	rep3
ENSMUSG00000102693	0	0	0
ENSMUSG00000064842	0	0	0
ENSMUSG00000051951	2.24967959530012	2.14084201910582	1.65460197150977
ENSMUSG00000102851	0	0	0
ENSMUSG00000103377	0	0	0
ENSMUSG00000104017	0	0	0
ENSMUSG00000103025	0	0	0
ENSMUSG00000089699	0	0	0
ENSMUSG00000103201	0	0	0
ENSMUSG00000103147	0	0	0
ENSMUSG00000103161	20.2471163577011	21.4084201910582	43.0196512592539
ENSMUSG00000102331	0	1.07042100955291	0.827300985754883
ENSMUSG00000102348	0	0	0
ENSMUSG00000102592	0	0	0
ENSMUSG00000088333	0	0	0
ENSMUSG00000102343	1086.59524452996	1024.39290614214	1128.43854456966
ENSMUSG00000025900	0	0	0
ENSMUSG00000102948	1.12483979765006	0	0
ENSMUSG00000104123	0	0	0
ENSMUSG00000025902	15.7477571671008	19.2675781719524	21.509825629627
ENSMUSG00000104238	0	0	0
ENSMUSG00000102269	37.1197133224519	36.394314324799	36.4012433732148
ENSMUSG00000096126	0	0	0
ENSMUSG00000103003	0	0	0
ENSMUSG00000104328	0	0	1.65460197150977
ENSMUSG00000102735	0	1.07042100955291	0
ENSMUSG00000098104	4.49935919060024	8.56336807642329	10.7549128148135
ENSMUSG00000102175	0	2.14084201910582	0
ENSMUSG00000088000	0	0	0
ENSMUSG00000103265	0	0	0
ENSMUSG00000103922	182.22404721931	163.774414461595	162.150993207957
ENSMUSG00000033845	9715.24133230356	9558.8596153075	9714.16817473383
ENSMUSG00000102275	176.599848231059	175.549045566678	182.833517851829
ENSMUSG00000025903	15143.7181957627	13914.4027031783	13319.5458706536
ENSMUSG00000104217	0	0	0
ENSMUSG00000033813	16491.2762733475	15570.3440049567	15145.3991462146
ENSMUSG00000062588	94.4865430026049	67.4365236018334	67.8386808319004
ENSMUSG00000103280	5.62419898825029	5.35210504776456	1.65460197150977
ENSMUSG00000002459	6.74903878590035	7.49294706687038	7.44570887179395
ENSMUSG00000091305	0	0	0
ENSMUSG00000102653	0	0	0
ENSMUSG00000085623	12.3732377741506	9.6337890859762	9.92761182905859
ENSMUSG00000091665	0	0	0
ENSMUSG00000033793	7984.11288372012	7741.28474108666	7373.73368603327
ENSMUSG00000104352	0	0	0
ENSMUSG00000104046	1157.46015178191	1147.49132224072	1142.50266132749
ENSMUSG00000102907	0	0	0
ENSMUSG00000025905	5.62419898825029	7.49294706687038	4.9638059145293
ENSMUSG00000103936	0	0	0
ENSMUSG00000093015	0	0	0
ENSMUSG00000103519	0	1.07042100955291	3.30920394301953
ENSMUSG00000033774	0	0	0
ENSMUSG00000103090	0	0	0
ENSMUSG00000025907	2850.34404724525	2730.64399536948	2768.97639932159
ENSMUSG00000090031	69.7400674543037	78.1407336973625	86.8666035042627
ENSMUSG00000087247	0	2.14084201910582	0
ENSMUSG00000103355	4.49935919060024	2.14084201910582	0
ENSMUSG00000102706	0	0	0
ENSMUSG00000103845	5.62419898825029	7.49294706687038	14.064116757833
ENSMUSG00000033740	4.49935919060024	4.28168403821165	6.61840788603906
ENSMUSG00000103329	0	0	0
ENSMUSG00000104385	0	0	0
ENSMUSG00000102135	106.859780776756	161.63357244249	100.930720262096
ENSMUSG00000103282	0	0	0
ENSMUSG00000102534	0	0	0
ENSMUSG00000102213	0	0	0
ENSMUSG00000103629	0	0	0
ENSMUSG00000051285	3583.73959531309	3421.06554653111	3388.624837652
ENSMUSG00000098201	0	1.07042100955291	0
ENSMUSG00000103509	380.19585160572	310.422092770344	350.77561796007
ENSMUSG00000048538	211.469881958211	192.675781719524	255.636004598259
ENSMUSG00000103709	0	0	0
ENSMUSG00000077244	0	0	0
ENSMUSG00000102768	0	0	0
ENSMUSG00000097797	65.2407082637034	55.6618924967514	47.9834571737832
ENSMUSG00000103498	0	0	0
ENSMUSG00000103067	229.467318720612	236.563043111193	234.126178968632
ENSMUSG00000102320	0	0	0
ENSMUSG00000104226	0	0	0
ENSMUSG00000103903	2.24967959530012	0	0
ENSMUSG00000103557	0	0	0
ENSMUSG00000025909	35.9948735248019	25.6901042292699	34.7466414017051
ENSMUSG00000102647	2.24967959530012	6.42252605731747	6.61840788603906
ENSMUSG00000086235	0	0	0
ENSMUSG00000102253	0	0	0
ENSMUSG00000093970	0	0	0
ENSMUSG00000103884	0	0	0
ENSMUSG00000084353	56.2419898825029	66.3661025922805	67.8386808319004
ENSMUSG00000103933	7.87387858355041	5.35210504776456	6.61840788603906
ENSMUSG00000076135	1.12483979765006	0	0
ENSMUSG00000086195	0	0	0
ENSMUSG00000104504	0	0	0
ENSMUSG00000066693	2.24967959530012	2.14084201910582	0.827300985754883
ENSMUSG00000102316	0	0	0
ENSMUSG00000103819	0	0	0
ENSMUSG00000102871	0	0	0
ENSMUSG00000101571	0	1.07042100955291	0.827300985754883
ENSMUSG00000104428	0	0	0
ENSMUSG00000102272	0	0	0
ENSMUSG00000065625	0	0	0
ENSMUSG00000103411	0	0	0
ENSMUSG00000061024	6256.35895452963	6340.1036395819	6337.95285186816
ENSMUSG00000025911	269.961551436014	294.365777627051	265.563616427317
ENSMUSG00000079671	2.24967959530012	3.21126302865873	0
ENSMUSG00000081441	3.37451939295018	8.56336807642329	9.10031084330371
ENSMUSG00000067879	0	0	0
ENSMUSG00000099827	0	0	0
ENSMUSG00000025912	1827.86467118135	1935.32118527166	1786.14282824479
ENSMUSG00000045210	4325.00902196448	4276.33193316388	4054.60213118468
ENSMUSG00000097893	23.6216357506512	23.5492622101641	43.8469522450088
ENSMUSG00000025915	829.006930868093	814.590388269766	775.181023652325
ENSMUSG00000046334	23.6216357506512	13.9154731241878	20.6825246438721
ENSMUSG00000088916	0	0	0
ENSMUSG00000046101	263.212512650114	301.858724693921	226.680470096838
ENSMUSG00000098234	3069.68780778701	3187.71376644857	3046.94953053523
ENSMUSG00000093178	67.4903878590035	85.6336807642329	90.1758074472822
ENSMUSG00000099032	86.6126644190545	75.9998916782567	108.37642913389
ENSMUSG00000104025	0	0	0
ENSMUSG00000025916	5.62419898825029	3.21126302865873	4.13650492877441
ENSMUSG00000087199	0	0	0
ENSMUSG00000095780	0	0	0
ENSMUSG00000025917	8008.85935926842	7804.43958065028	7842.81334495629
ENSMUSG00000056763	3190.04566613557	3068.8970343882	3136.29803699676
ENSMUSG00000102356	0	0	1.65460197150977
ENSMUSG00000067851	4539.85342331564	4296.66993234539	4172.07887116187
ENSMUSG00000088153	0	2.14084201910582	3.30920394301953
ENSMUSG00000102556	2.24967959530012	0	1.65460197150977
ENSMUSG00000042501	24.7464755483013	38.5351563439048	45.5015542165186
ENSMUSG00000103810	5.62419898825029	2.14084201910582	8.27300985754883
ENSMUSG00000083422	0	1.07042100955291	1.65460197150977
ENSMUSG00000094979	0	0	0
ENSMUSG00000081417	0	0	0
ENSMUSG00000103448	0	0	1.65460197150977
ENSMUSG00000100212	2.24967959530012	0	0
ENSMUSG00000100648	23.6216357506512	46.0281034107752	33.0920394301953
ENSMUSG00000088585	0	0	0
ENSMUSG00000048960	1053.97489039811	1057.57595743828	1130.92044752692
ENSMUSG00000077318	0	0	0
ENSMUSG00000101827	0	0	0.827300985754883
ENSMUSG00000103494	6.74903878590035	6.42252605731747	2.48190295726465
ENSMUSG00000057715	478.056914001275	461.351455117305	489.762183566891
ENSMUSG00000103825	10.1235581788505	4.28168403821165	8.27300985754883
ENSMUSG00000099845	0	0	0
ENSMUSG00000103561	1.12483979765006	0	0
ENSMUSG00000101610	1.12483979765006	0	0.827300985754883
ENSMUSG00000093864	0	0	0
ENSMUSG00000098555	0	0	0
ENSMUSG00000097628	2.24967959530012	5.35210504776456	6.61840788603906
ENSMUSG00000098163	0	0	0
ENSMUSG00000097171	0	1.07042100955291	2.48190295726465
ENSMUSG00000101314	0	0	0
ENSMUSG00000016918	4675.95903883129	4559.9935006954	4504.65386743534
ENSMUSG00000025938	717.647790900738	762.139758801673	665.977293532681
ENSMUSG00000104518	0	0	0
ENSMUSG00000069620	24.7464755483013	25.6901042292699	23.9917285868916
ENSMUSG00000099498	2.24967959530012	5.35210504776456	4.9638059145293
ENSMUSG00000042414	3693.97389548279	3535.60059455327	3473.83683918475
ENSMUSG00000005886	4850.30920746705	4643.48633944053	4572.49254826724
ENSMUSG00000103506	8.99871838120047	11.774631105082	4.9638059145293
ENSMUSG00000103495	0	0	0
ENSMUSG00000099183	0	0	0
