gene_name_human	gene_name_mouse	gene_id_human	gene_id_mouse	mean_tpm_hESCs	mean_tpm_mESCs	logFC	padj
PRDM16	Prdm16	ENSG00000142611	ENSMUSG00000039410	55.60171931393052	612.9532598778443	4.9643059495079696	1.77113910887762e-10
TP73	Trp73	ENSG00000078900	ENSMUSG00000029026	117.89738702900912	239.67403997539466	2.55295166512246	4.2162995819027293e-07
HES3	Hes3	ENSG00000173673	ENSMUSG00000028946	272.2086984318483	0.0	-7.61133669739624	1.59072789105988e-10
ZBTB48	Zbtb48	ENSG00000204859	ENSMUSG00000028952	1251.4373247161436	342.804146005051	-0.387987335607009	0.0568641883880567
ZNF436	Zfp46	ENSG00000125945	ENSMUSG00000051351	136.43461598889067	177.66594867685967	1.83688763156479	4.65633383365343e-06
E2F2	E2f2	ENSG00000007968	ENSMUSG00000018983	369.97795348568866	168.22400222242567	0.347509621780713	0.210031979956584
RUNX3	Runx3	ENSG00000020633	ENSMUSG00000070691	21.094135468823467	12.521235276501011	0.501136710931952	0.3980942497787221
LIN28A	Lin28a	ENSG00000131914	ENSMUSG00000050966	122983.12552672032	1748.28417836753	-4.6761638203586395	1.72461188752855e-11
GMEB1	Gmeb1	ENSG00000162419	ENSMUSG00000028901	1639.4627774353967	830.2038706724796	0.483815713902464	0.00214620967591099
MTF1	Mtf1	ENSG00000188786	ENSMUSG00000028890	1063.2030280717424	865.6545483012401	1.16926861360352	5.821097095872679e-07
POU3F1	Pou3f1	ENSG00000185668	ENSMUSG00000090125	992.4495737628949	0.0	-9.47866928121389	1.4453255104817999e-09
HEYL	Heyl	ENSG00000163909	ENSMUSG00000032744	344.0592993713247	0.0	-7.91830497593346	2.44291602792893e-09
MYCL	Mycl	ENSG00000116990	ENSMUSG00000028654	1015.1120466396393	319.8995527163916	-0.149660716448682	0.6342502799903089
ZFP69	Zfp69	ENSG00000187815	ENSMUSG00000064141	239.154486924048	30.552679162089692	-1.4417478225197398	0.00036343397749867204
NFYC	Nfyc	ENSG00000066136	ENSMUSG00000032897	2867.3104477391134	892.659436656155	-0.226302046575423	0.2518439421762
FOXO6	Foxo6	ENSG00000204060	ENSMUSG00000052135	68.28646802791597	101.5670960829476	2.0644694748911796	2.8050637382010602e-06
HIVEP3	Hivep3	ENSG00000127124	ENSMUSG00000028634	89.11211227730494	1.05184914461448	-4.7075618342348795	7.20221183260321e-06
FOXJ3	Foxj3	ENSG00000198815	ENSMUSG00000032998	3370.445966701073	1459.71072040512	0.278735199408601	0.0659118809022888
YBX1	Ybx1	ENSG00000065978	ENSMUSG00000028639	77528.37221778947	19654.771824695465	-0.5117765640821189	0.0017767975477488102
ZNF691	Zfp691	ENSG00000164011	ENSMUSG00000045268	1508.6519427612066	99.28426314060694	-2.44374302371611	1.71555101629387e-07
DMBX1	Dmbx1	ENSG00000197587	ENSMUSG00000028707	4.331285872817859	15.124514652183159	3.1279664335977797	9.29049669350529e-05
DMRTA2	Dmrta2	ENSG00000142700	ENSMUSG00000047143	0.34854180107710336	22.3389392124314	6.392783660315519	1.4374682127629099e-07
JUN	Jun	ENSG00000177606	ENSMUSG00000052684	1819.5757237468167	382.136055082194	-0.7756975881413279	0.000496541480014434
NFIA	Nfia	ENSG00000162599	ENSMUSG00000028565	38.282324867132566	14.752975998001398	0.0745090606009389	0.8506840303398001
FOXD3	Foxd3	ENSG00000187140	ENSMUSG00000067261	605.697936748221	316.57138670160435	0.5412561641897371	0.0126069277710424
GTF2B	Gtf2b	ENSG00000137947	ENSMUSG00000028271	897.9474399853663	642.2950418418617	0.999733835056649	1.65736958788774e-05
NHLH2	Nhlh2	ENSG00000177551	ENSMUSG00000048540	97.85713447455805	0.0	-6.112232958788709	2.9070783139700604e-09
TBX15	Tbx15	ENSG00000092607	ENSMUSG00000027868	331.073577010495	97.50966049090717	-0.29764884766313104	0.214994475846585
ZNF697	Zfp697	ENSG00000143067	ENSMUSG00000050064	2874.19523764434	11.485491107849711	-6.703614705614849	3.28214071589297e-09
ARNT	Arnt	ENSG00000143437	ENSMUSG00000015522	2141.62299313133	2095.6169942752936	1.43294073579376	6.00391127591574e-08
SETDB1	Setdb1	ENSG00000143379	ENSMUSG00000015697	3024.8770942012866	2789.633173337383	1.3442548441116797	9.42507569827651e-07
RFX5	Rfx5	ENSG00000143390	ENSMUSG00000005774	3133.514278960507	348.307041166537	-1.70014414770598	4.4645184711330096e-08
RORC	Rorc	ENSG00000143365	ENSMUSG00000028150	40.84743458886927	1.8411082468476903	-3.1665193373099796	0.000344685377664626
CREB3L4	Creb3l4	ENSG00000143578	ENSMUSG00000027938	1567.0191015336331	45.78977542951159	-3.65480793335374	5.81711618176296e-08
ZBTB7B	Zbtb7b	ENSG00000160685	ENSMUSG00000028042	1908.4996480797333	905.7344289659086	0.384789110795331	0.0563876144154286
MEF2D	Mef2d	ENSG00000116604	ENSMUSG00000001419	1656.6254122802402	1213.0977722804134	1.02903834731197	2.2199288699393898e-05
ETV3	Etv3	ENSG00000117036	ENSMUSG00000003382	1877.7569699639	494.24435854086664	-0.43591432737922897	0.0147097111370265
USF1	Usf1	ENSG00000158773	ENSMUSG00000026641	3432.4977903182794	1286.78614556069	0.0592965407041414	0.73152240988382
NR1I3	Nr1i3	ENSG00000143257	ENSMUSG00000005677	62.8107118772703	9.72411036538392	-1.14818532668356	0.0160995549633757
ATF6	Atf6	ENSG00000118217	ENSMUSG00000026663	1803.3649635864967	908.5426479037193	0.49264004599929995	0.00781382456282358
PBX1	Pbx1	ENSG00000185630	ENSMUSG00000052534	7729.073229094453	273.487687955469	-3.3470084383730696	1.81182628895249e-10
POU2F1	Pou2f1	ENSG00000143190	ENSMUSG00000026565	3979.7819508637863	1255.6414307063667	-0.102434575148995	0.708089988575778
TBX19	Tbx19	ENSG00000143178	ENSMUSG00000026572	42.7018525317773	0.29917203812611903	-4.440595628753679	2.81389242778251e-07
ZBTB37	Zbtb37	ENSG00000185278	ENSMUSG00000043467	798.7330850874459	159.28327904603836	-0.7556210080021009	0.0580767963380188
LHX4	Lhx4	ENSG00000121454	ENSMUSG00000026468	158.24912102000965	0.8975161143783565	-5.88267674268362	1.9363911309658e-07
NR5A2	Nr5a2	ENSG00000116833	ENSMUSG00000026398	444.99165207951927	1762.5883236037832	3.5069966884847794	1.5777399200675902e-09
ZNF281	Zfp281	ENSG00000162702	ENSMUSG00000041483	5284.914681613406	1311.7004826633831	-0.453867015754466	0.0784009856483524
ELF3	Elf3	ENSG00000163435	ENSMUSG00000003051	379.94386958827664	2462.399771541743	4.16078165568054	3.75993065509429e-10
SOX13	Sox13	ENSG00000143842	ENSMUSG00000070643	7752.65962273064	671.50709174129	-2.10074145011849	7.832724960346501e-07
ELK4	Elk4	ENSG00000158711	ENSMUSG00000026436	895.2766658675318	184.249914090379	-0.680933288771661	0.0570084229282109
IRF6	Irf6	ENSG00000117595	ENSMUSG00000026638	1278.4968930888501	211.88041475358798	-1.1170359416534799	3.16410345212384e-05
ATF3	Atf3	ENSG00000162772	ENSMUSG00000026628	2555.68656109219	99.20464141200402	-3.2357866882975097	3.84265283522277e-09
BATF3	Batf3	ENSG00000123685	ENSMUSG00000026630	170.12354832529968	2.33263684531931	-4.50748329232684	4.220580289174579e-06
PROX1	Prox1	ENSG00000117707	ENSMUSG00000010175	29.553419313221667	9.162348284876552	-0.104807541629506	0.81554036757469
ESRRG	Esrrg	ENSG00000196482	ENSMUSG00000026610	42.966771095422835	1.25081665857705	-3.50165110410846	6.63368921189422e-05
MIXL1	Mixl1	ENSG00000185155	ENSMUSG00000026497	79.45606119554397	6.493957405686249	-2.18165705736751	0.000302038017794641
ZBTB18	Zbtb18	ENSG00000179456	ENSMUSG00000063659	808.988911707903	368.47576559826274	0.332031045233448	0.11983266760634899
ZNF496	Zkscan17	ENSG00000162714	ENSMUSG00000020472	6913.893144110287	1278.7904669454667	-0.9603440241012341	7.306895813224691e-05
ZNF692	Zfp692	ENSG00000171163	ENSMUSG00000037243	1100.190175786883	454.22672670956473	0.198653228951119	0.35363358231167896
SOX11	Sox11	ENSG00000176887	ENSMUSG00000063632	3157.1639767421	176.39235775364833	-2.68603021843278	2.3481703176128498e-09
GRHL1	Grhl1	ENSG00000134317	ENSMUSG00000020656	193.48064708320098	60.41774528047423	-0.17798271960627698	0.508278998968331
KLF11	Klf11	ENSG00000172059	ENSMUSG00000020653	756.252284162294	554.7090137612616	1.01504872586557	1.0913193020847099e-05
E2F6	E2f6	ENSG00000169016	ENSMUSG00000057469	1131.8341331669599	587.57644027894	0.5223255611504221	0.00105219261379054
ZNF513	Zfp513	ENSG00000163795	ENSMUSG00000043059	1262.2569301509332	410.3578292185277	-0.15850578891981199	0.41917155108461895
