gene_id	rep1	rep2
ENSG00000223972	2	0
ENSG00000227232	45	36
ENSG00000243485	3	0
ENSG00000237613	0	0
ENSG00000268020	0	0
ENSG00000240361	0	0
ENSG00000186092	0	0
ENSG00000238009	16	10
ENSG00000239945	0	0
ENSG00000233750	202	116
ENSG00000268903	0	0
ENSG00000269981	0	0
ENSG00000239906	0	0
ENSG00000241860	179	145
ENSG00000241599	6	10
ENSG00000228463	30	31
ENSG00000241670	0	0
ENSG00000236679	0	0
ENSG00000236743	0	0
ENSG00000236601	0	0
ENSG00000237094	173	114
ENSG00000269732	0	0
ENSG00000235249	0	0
ENSG00000224813	0	0
ENSG00000233653	0	0
ENSG00000250575	19	8
ENSG00000230021	2	2
ENSG00000235146	0	0
ENSG00000225972	1187	1262
ENSG00000225630	26	21
ENSG00000237973	356	439
ENSG00000229344	38	30
ENSG00000240409	0	1
ENSG00000248527	47	31
ENSG00000198744	5198	5039
ENSG00000268663	0	0
ENSG00000273547	0	0
ENSG00000283574	0	0
ENSG00000229376	3	2
ENSG00000228327	538	417
ENSG00000229905	3	2
ENSG00000237491	73	70
ENSG00000230092	17	8
ENSG00000177757	6	3
ENSG00000228794	532	393
ENSG00000225880	12	14
ENSG00000230368	6	0
ENSG00000234711	0	0
ENSG00000283040	0	0
ENSG00000272438	4	7
ENSG00000230699	20	26
ENSG00000241180	0	0
ENSG00000223764	48	39
ENSG00000187634	91	67
ENSG00000188976	7273	4400
ENSG00000187961	975	697
ENSG00000187583	19	15
ENSG00000187642	11	4
ENSG00000272512	10	18
ENSG00000188290	140	177
ENSG00000187608	546	484
ENSG00000231702	0	0
ENSG00000224969	2	5
ENSG00000188157	12899	10181
ENSG00000242590	0	0
ENSG00000217801	16	35
ENSG00000273443	4	2
ENSG00000237330	1	0
ENSG00000131591	821	646
ENSG00000223823	2	0
ENSG00000272141	8	8
ENSG00000205231	1	4
ENSG00000162571	13	12
ENSG00000186891	18	3
ENSG00000186827	1	6
ENSG00000078808	4562	3106
ENSG00000176022	2220	1557
ENSG00000184163	52	37
ENSG00000260179	31	11
ENSG00000160087	3708	2250
ENSG00000230415	23	16
ENSG00000162572	193	161
ENSG00000131584	2456	1697
ENSG00000169972	936	638
ENSG00000127054	5079	3376
ENSG00000240731	114	80
ENSG00000224051	843	562
ENSG00000169962	32	21
ENSG00000107404	3743	2438
ENSG00000162576	2371	1932
ENSG00000175756	4083	2602
ENSG00000223663	4	2
ENSG00000221978	6991	4319
ENSG00000224870	815	596
ENSG00000242485	3108	1920
ENSG00000272455	230	162
ENSG00000235098	57	42
ENSG00000225905	3	5
ENSG00000205116	50	25
ENSG00000225285	59	28
ENSG00000179403	1828	1125
ENSG00000215915	67	48
ENSG00000160072	3264	1561
ENSG00000197785	3124	1733
ENSG00000205090	144	144
ENSG00000160075	6471	4438
ENSG00000215014	30	25
ENSG00000274481	0	0
ENSG00000228594	472	473
ENSG00000272106	225	197
ENSG00000197530	1475	991
ENSG00000189409	53	56
ENSG00000248333	1849	1222
ENSG00000272004	0	0
ENSG00000189339	6428	5012
ENSG00000269737	119	63
ENSG00000215914	1	0
ENSG00000008128	133	80
ENSG00000268575	171	135
ENSG00000227775	390	334
ENSG00000215790	321	222
ENSG00000008130	3742	2675
ENSG00000078369	25919	20630
ENSG00000231050	8	6
ENSG00000169885	13	16
ENSG00000178821	323	276
ENSG00000142609	25	19
ENSG00000233542	7	1
ENSG00000187730	62	45
ENSG00000226969	7	0
ENSG00000067606	1199	752
ENSG00000271806	16	13
ENSG00000182873	142	95
ENSG00000162585	2641	1879
ENSG00000234396	0	0
ENSG00000157933	7067	5156
ENSG00000116151	208	144
ENSG00000272161	6	0
ENSG00000269896	104	56
ENSG00000272420	9	5
ENSG00000157916	3233	2035
ENSG00000157911	1118	814
ENSG00000149527	63	33
ENSG00000224387	6	0
ENSG00000229393	3	0
ENSG00000157881	1258	1060
ENSG00000197921	92	108
ENSG00000272449	19	28
ENSG00000238164	7	5
ENSG00000157873	16	15
ENSG00000225931	0	0
ENSG00000228037	1	5
ENSG00000157870	2393	1660
ENSG00000142606	6	11
ENSG00000237058	1	0
ENSG00000215912	48	24
ENSG00000283259	0	0
ENSG00000233234	0	0
ENSG00000231630	0	0
ENSG00000169717	4	2
ENSG00000177133	3	10
ENSG00000142611	85	159
ENSG00000226286	0	0
ENSG00000279839	1	2
ENSG00000272235	2	4
ENSG00000130762	1609	881
ENSG00000272088	2	4
ENSG00000162591	1338	1087
ENSG00000238260	4	2
ENSG00000158109	2159	1525
ENSG00000116213	1317	850
ENSG00000078900	93	113
ENSG00000227589	0	0
ENSG00000235131	1	0
ENSG00000227372	2082	1608
ENSG00000162592	18	6
ENSG00000235169	54	69
ENSG00000130764	4340	2922
ENSG00000272153	30	23
ENSG00000116198	1428	1188
ENSG00000169598	457	306
ENSG00000198912	2147	1588
ENSG00000236423	18	26
ENSG00000233304	1	0
ENSG00000226374	0	0
ENSG00000229280	0	0
ENSG00000235054	2	0
ENSG00000227169	0	0
ENSG00000232596	0	0
ENSG00000196581	978	671
ENSG00000231510	4	2
ENSG00000260972	0	0
ENSG00000283356	0	0
ENSG00000236948	0	0
ENSG00000131697	1390	857
ENSG00000069424	421	408
ENSG00000116254	92	89
ENSG00000116251	21534	17189
ENSG00000226944	4	0
ENSG00000158286	119	108
ENSG00000116237	15550	10313
ENSG00000225077	110	146
ENSG00000173673	1499	1057
ENSG00000158292	1366	1636
ENSG00000097021	6679	4653
ENSG00000271746	0	0
ENSG00000069812	29	31
ENSG00000187017	296	338
ENSG00000231868	0	0
ENSG00000215788	377	316
ENSG00000171680	1372	1342
ENSG00000162408	3089	2056
ENSG00000229519	19	4
ENSG00000173662	0	4
ENSG00000204859	876	551
ENSG00000162413	2309	1319
ENSG00000116273	3429	2867
ENSG00000041988	562	422
ENSG00000007923	3868	2340
ENSG00000228750	3	0
ENSG00000237436	45	20
ENSG00000171735	2730	2436
ENSG00000227950	5	0
ENSG00000237365	0	0
ENSG00000237402	5	4
ENSG00000237728	0	2
ENSG00000225126	0	0
ENSG00000270171	4	5
ENSG00000270035	5	2
ENSG00000269978	9	9
ENSG00000049245	3097	2937
ENSG00000269925	19	12
ENSG00000049246	1308	1036
ENSG00000236266	9	5
ENSG00000049247	0	3
ENSG00000049249	7	6
ENSG00000270330	0	0
ENSG00000116288	10510	7347
ENSG00000116285	3587	2540
ENSG00000238290	3	3
ENSG00000232848	2	0
ENSG00000229305	0	0
ENSG00000227634	0	0
ENSG00000233645	0	2
ENSG00000162426	59	77
ENSG00000142599	8829	7377
ENSG00000232912	3	6
ENSG00000270282	0	4
