gene_id	rep1	rep2	rep3
ENSMUSG00000102693	0	0	0
ENSMUSG00000064842	0	0	0
ENSMUSG00000051951	2	2	2
ENSMUSG00000102851	0	0	0
ENSMUSG00000103377	0	0	0
ENSMUSG00000104017	0	0	0
ENSMUSG00000103025	0	0	0
ENSMUSG00000089699	0	0	0
ENSMUSG00000103201	0	0	0
ENSMUSG00000103147	0	0	0
ENSMUSG00000103161	18	20	52
ENSMUSG00000102331	0	1	1
ENSMUSG00000102348	0	0	0
ENSMUSG00000102592	0	0	0
ENSMUSG00000088333	0	0	0
ENSMUSG00000102343	966	957	1364
ENSMUSG00000025900	0	0	0
ENSMUSG00000102948	1	0	0
ENSMUSG00000104123	0	0	0
ENSMUSG00000025902	14	18	26
ENSMUSG00000104238	0	0	0
ENSMUSG00000102269	33	34	44
ENSMUSG00000096126	0	0	0
ENSMUSG00000103003	0	0	0
ENSMUSG00000104328	0	0	2
ENSMUSG00000102735	0	1	0
ENSMUSG00000098104	4	8	13
ENSMUSG00000102175	0	2	0
ENSMUSG00000088000	0	0	0
ENSMUSG00000103265	0	0	0
ENSMUSG00000103922	162	153	196
ENSMUSG00000033845	8637	8930	11742
ENSMUSG00000102275	157	164	221
ENSMUSG00000025903	13463	12999	16100
ENSMUSG00000104217	0	0	0
ENSMUSG00000033813	14661	14546	18307
ENSMUSG00000062588	84	63	82
ENSMUSG00000103280	5	5	2
ENSMUSG00000002459	6	7	9
ENSMUSG00000091305	0	0	0
ENSMUSG00000102653	0	0	0
ENSMUSG00000085623	11	9	12
ENSMUSG00000091665	0	0	0
ENSMUSG00000033793	7098	7232	8913
ENSMUSG00000104352	0	0	0
ENSMUSG00000104046	1029	1072	1381
ENSMUSG00000102907	0	0	0
ENSMUSG00000025905	5	7	6
ENSMUSG00000103936	0	0	0
ENSMUSG00000093015	0	0	0
ENSMUSG00000103519	0	1	4
ENSMUSG00000033774	0	0	0
ENSMUSG00000103090	0	0	0
ENSMUSG00000025907	2534	2551	3347
ENSMUSG00000090031	62	73	105
ENSMUSG00000087247	0	2	0
ENSMUSG00000103355	4	2	0
ENSMUSG00000102706	0	0	0
ENSMUSG00000103845	5	7	17
ENSMUSG00000033740	4	4	8
ENSMUSG00000103329	0	0	0
ENSMUSG00000104385	0	0	0
ENSMUSG00000102135	95	151	122
ENSMUSG00000103282	0	0	0
ENSMUSG00000102534	0	0	0
ENSMUSG00000102213	0	0	0
ENSMUSG00000103629	0	0	0
ENSMUSG00000051285	3186	3196	4096
ENSMUSG00000098201	0	1	0
ENSMUSG00000103509	338	290	424
ENSMUSG00000048538	188	180	309
ENSMUSG00000103709	0	0	0
ENSMUSG00000077244	0	0	0
ENSMUSG00000102768	0	0	0
ENSMUSG00000097797	58	52	58
ENSMUSG00000103498	0	0	0
ENSMUSG00000103067	204	221	283
ENSMUSG00000102320	0	0	0
ENSMUSG00000104226	0	0	0
ENSMUSG00000103903	2	0	0
ENSMUSG00000103557	0	0	0
ENSMUSG00000025909	32	24	42
ENSMUSG00000102647	2	6	8
ENSMUSG00000086235	0	0	0
ENSMUSG00000102253	0	0	0
ENSMUSG00000093970	0	0	0
ENSMUSG00000103884	0	0	0
ENSMUSG00000084353	50	62	82
ENSMUSG00000103933	7	5	8
ENSMUSG00000076135	1	0	0
ENSMUSG00000086195	0	0	0
ENSMUSG00000104504	0	0	0
ENSMUSG00000066693	2	2	1
ENSMUSG00000102316	0	0	0
ENSMUSG00000103819	0	0	0
ENSMUSG00000102871	0	0	0
ENSMUSG00000101571	0	1	1
ENSMUSG00000104428	0	0	0
ENSMUSG00000102272	0	0	0
ENSMUSG00000065625	0	0	0
ENSMUSG00000103411	0	0	0
ENSMUSG00000061024	5562	5923	7661
ENSMUSG00000025911	240	275	321
ENSMUSG00000079671	2	3	0
ENSMUSG00000081441	3	8	11
ENSMUSG00000067879	0	0	0
ENSMUSG00000099827	0	0	0
ENSMUSG00000025912	1625	1808	2159
ENSMUSG00000045210	3845	3995	4901
ENSMUSG00000097893	21	22	53
ENSMUSG00000025915	737	761	937
ENSMUSG00000046334	21	13	25
ENSMUSG00000088916	0	0	0
ENSMUSG00000046101	234	282	274
ENSMUSG00000098234	2729	2978	3683
ENSMUSG00000093178	60	80	109
ENSMUSG00000099032	77	71	131
ENSMUSG00000104025	0	0	0
ENSMUSG00000025916	5	3	5
ENSMUSG00000087199	0	0	0
ENSMUSG00000095780	0	0	0
ENSMUSG00000025917	7120	7291	9480
ENSMUSG00000056763	2836	2867	3791
ENSMUSG00000102356	0	0	2
ENSMUSG00000067851	4036	4014	5043
ENSMUSG00000088153	0	2	4
ENSMUSG00000102556	2	0	2
ENSMUSG00000042501	22	36	55
ENSMUSG00000103810	5	2	10
ENSMUSG00000083422	0	1	2
ENSMUSG00000094979	0	0	0
ENSMUSG00000081417	0	0	0
ENSMUSG00000103448	0	0	2
ENSMUSG00000100212	2	0	0
ENSMUSG00000100648	21	43	40
ENSMUSG00000088585	0	0	0
ENSMUSG00000048960	937	988	1367
ENSMUSG00000077318	0	0	0
ENSMUSG00000101827	0	0	1
ENSMUSG00000103494	6	6	3
ENSMUSG00000057715	425	431	592
ENSMUSG00000103825	9	4	10
ENSMUSG00000099845	0	0	0
ENSMUSG00000103561	1	0	0
ENSMUSG00000101610	1	0	1
ENSMUSG00000093864	0	0	0
ENSMUSG00000098555	0	0	0
ENSMUSG00000097628	2	5	8
ENSMUSG00000098163	0	0	0
ENSMUSG00000097171	0	1	3
ENSMUSG00000101314	0	0	0
ENSMUSG00000016918	4157	4260	5445
ENSMUSG00000025938	638	712	805
ENSMUSG00000104518	0	0	0
ENSMUSG00000069620	22	24	29
ENSMUSG00000099498	2	5	6
ENSMUSG00000042414	3284	3303	4199
ENSMUSG00000005886	4312	4338	5527
ENSMUSG00000103506	8	11	6
ENSMUSG00000103495	0	0	0
ENSMUSG00000099183	0	0	0
ENSMUSG00000102639	0	0	0
ENSMUSG00000104170	2	1	2
ENSMUSG00000087782	0	0	0
ENSMUSG00000103085	16	15	25
ENSMUSG00000102664	10	9	9
ENSMUSG00000101476	1	0	0
ENSMUSG00000101171	1	1	0
ENSMUSG00000025935	6066	6304	7800
ENSMUSG00000025937	7770	8193	10087
ENSMUSG00000102982	132	147	184
ENSMUSG00000067813	0	0	4
ENSMUSG00000077368	0	0	0
ENSMUSG00000097711	2	3	6
ENSMUSG00000102166	0	0	2
ENSMUSG00000089358	0	0	0
ENSMUSG00000104209	0	0	0
ENSMUSG00000025932	1342	1461	1843
ENSMUSG00000095853	0	0	0
ENSMUSG00000102588	0	0	0
ENSMUSG00000054493	0	11	20
ENSMUSG00000025930	384	419	497
ENSMUSG00000103492	0	3	10
ENSMUSG00000081201	0	0	0
ENSMUSG00000082193	6	10	8
ENSMUSG00000032769	322	306	396
ENSMUSG00000088159	0	0	0
ENSMUSG00000073737	132	124	185
ENSMUSG00000092083	2	1	2
ENSMUSG00000102937	0	0	0
ENSMUSG00000104149	44	35	43
ENSMUSG00000088829	0	0	0
ENSMUSG00000077377	0	0	0
ENSMUSG00000101652	3	0	2
ENSMUSG00000100814	0	0	0
ENSMUSG00000025925	6764	6996	8781
ENSMUSG00000104379	12	4	3
ENSMUSG00000032719	2	3	2
ENSMUSG00000088943	0	0	0
ENSMUSG00000100652	17	14	12
ENSMUSG00000067795	7	3	6
ENSMUSG00000043716	52836	54841	72684
ENSMUSG00000025921	358	364	457
ENSMUSG00000104165	0	0	0
ENSMUSG00000100868	0	0	0
ENSMUSG00000025920	509	544	588
ENSMUSG00000089982	0	0	0
ENSMUSG00000025939	1342	1477	1723
ENSMUSG00000102457	0	1	2
ENSMUSG00000079658	3421	3583	4358
ENSMUSG00000097744	13	11	8
ENSMUSG00000100959	0	0	0
ENSMUSG00000025940	697	706	862
ENSMUSG00000025779	26	11	20
ENSMUSG00000100093	0	1	0
ENSMUSG00000091020	9	14	40
ENSMUSG00000101640	0	0	0
ENSMUSG00000104133	0	0	0
ENSMUSG00000042686	56	79	81
ENSMUSG00000100110	0	0	0
ENSMUSG00000025777	11	8	13
ENSMUSG00000099899	0	0	0
ENSMUSG00000100272	0	0	0
ENSMUSG00000100398	13	15	19
ENSMUSG00000101589	49	54	58
ENSMUSG00000102048	3	1	5
ENSMUSG00000089534	0	0	0
ENSMUSG00000067780	6	5	16
ENSMUSG00000100053	0	0	0
