index	lr_test	pval	rsq	beta	padj	short_id	HGNC symbol	activ_or_repr	no_CAGE_enr	eRNA_enr	lncRNA_enr	mRNA_enr
M05563_1	10.635973459502566	0.0011090888812082924	0.0006503198534446586	-0.21613086911994375	0.004402334393507762	M05563_1	AR	repressing				
M05564_1	16.352509564523643	5.258648324220954e-05	0.0009996425981402268	-0.23968758855538858	0.0002907987577582015	M05564_1	AR	repressing		1.0		
M00144_1	10.738761740918562	0.0010491451316603122	0.0006566022499966406	-0.27532745114224033	0.004203076781326452	M00144_1	ARID5A	repressing	0.0			
M00226_1	6.933266388332413	0.008460702983720904	0.0004239802045962193	0.13334118610206583	0.02712246663456047	M00226_1	ARNT	activating				
M08469_1	17.12141208122921	3.5064752209233976e-05	0.0010466172665281048	0.20043482032352325	0.00020076897946349012	M08469_1	ARNT2	activating				
M05565_1	60.33967092855164	7.982232587376521e-15	0.0036827766871706524	0.37373103463591834	9.390008152786562e-14	M05565_1	ARNTL	activating				
M08470_1	14.574720846714627	0.00013470961850858292	0.0008910219396207619	0.18289671736267088	0.0006730279781857386	M08470_1	ARNTL	activating				
M00267_1	13.340917446454114	0.00025967727348171605	0.0008156299218375906	0.17463957820399592	0.0011938915583645827	M00267_1	ARNTL2	activating				
M08476_1	16.27231934494921	5.485953611483591e-05	0.0009947433760434388	-0.13833403006742445	0.00030079762598558336	M08476_1	ASCL2	repressing		1.0		
M08474_1	15.141571350082813	9.974259283936729e-05	0.0009256573045636207	-0.1310192043699784	0.0005183410246351055	M08474_1	ASCL4	repressing		1.0		
M08474_1	15.141571350082813	9.974259283936729e-05	0.0009256573045636207	-0.1310192043699784	0.0005183410246351055	M08474_1	ASCL5	repressing		1.0		
M06452_1	166.41024585370178	4.500415244903488e-38	0.010118012621930461	0.5539054770905443	7.764716435873484e-37	M06452_1	ATF1	activating				3.0
M08481_1	292.986059703966	1.111558226055477e-65	0.017733203659211827	0.7414822346334737	2.9965757177412234e-64	M08481_1	ATF2	activating				3.0
M08479_1	203.37128954490618	3.838583450272322e-46	0.012348886473631193	0.7150695560953408	7.525949976746038e-45	M08479_1	ATF2	activating				
M08485_1	206.2602948791682	8.990785964541365e-47	0.012523009224444048	0.720450232729394	1.789858005864081e-45	M08485_1	ATF3	activating				
M08483_1	182.21315658250387	1.5929949011487626e-41	0.01107256288906533	0.661313391893503	2.823747126145889e-40	M08483_1	ATF3	activating				
