index	gene_id	gene_name
HKR1	ENSG00000181666	HKR1
M00117_1	ENSG00000137203	TFAP2A
M00118_1	ENSG00000137203	TFAP2A
M00119_1	ENSG00000137203	TFAP2A
M00120_1	ENSG00000137203	TFAP2A
M00136_1	ENSG00000116017	ARID3A
M00138_1	ENSG00000196843	ARID5A
M00139_1	ENSG00000116017	ARID3A
M00140_1	ENSG00000116017	ARID3A
M00141_1	ENSG00000116017	ARID3A
M00142_1	ENSG00000116017	ARID3A
M00143_1	ENSG00000196843	ARID5A
M00144_1	ENSG00000196843	ARID5A
M00145_1	ENSG00000116017	ARID3A
M00146_1	ENSG00000196843	ARID5A
M00147_1	ENSG00000116017	ARID3A
M00150_1	ENSG00000116017	ARID3A
M00155_1	ENSG00000149948	HMGA2
M00156_1	ENSG00000149948	HMGA2
M00158_1	ENSG00000137309	HMGA1
M00169_1	ENSG00000137309	HMGA1
M00171_1	ENSG00000137309	HMGA1
M00176_1	ENSG00000149948	HMGA2
M00177_1	ENSG00000149948	HMGA2
M00180_1	ENSG00000149948	HMGA2
M00185_1	ENSG00000149948	HMGA2
M00219_1	ENSG00000125952	MAX
M00221_1	ENSG00000187098	MITF
M00222_1	ENSG00000070444	MNT
M00223_1	ENSG00000090447	TFAP4
M00224_1	ENSG00000180535	BHLHA15
M00225_1	ENSG00000139352	ASCL1
M00226_1	ENSG00000143437	ARNT
M00227_1	ENSG00000143437	ARNT
M00228_1	ENSG00000108788	MLX
M00229_1	ENSG00000108788	MLX
M00230_1	ENSG00000187821	HELT
M00231_1	ENSG00000140262	TCF12
M00232_1	ENSG00000140262	TCF12
M00233_1	ENSG00000140262	TCF12
M00234_1	ENSG00000072310	SREBF1
M00235_1	ENSG00000072310	SREBF1
M00237_1	ENSG00000072310	SREBF1
M00238_1	ENSG00000114315	HES1
M00239_1	ENSG00000197921	HES5
M00240_1	ENSG00000187098	MITF
M00241_1	ENSG00000172238	ATOH1
M00242_1	ENSG00000179774	ATOH7
M00243_1	ENSG00000134852	CLOCK
M00244_1	ENSG00000158773	USF1
M00245_1	ENSG00000250709	CCDC169-SOHLH2
M00246_1	ENSG00000114315	HES1
M00247_1	ENSG00000134852	CLOCK
M00248_1	ENSG00000187098	MITF
M00249_1	ENSG00000187098	MITF
M00250_1	ENSG00000183733	FIGLA
M00251_1	ENSG00000134107	BHLHE40
M00252_1	ENSG00000134107	BHLHE40
M00253_1	ENSG00000134107	BHLHE40
M00254_1	ENSG00000140262	TCF12
M00255_1	ENSG00000187098	MITF
M00256_1	ENSG00000111049	MYF5
M00257_1	ENSG00000111049	MYF5
M00258_1	ENSG00000175727	MLXIP
M00259_1	ENSG00000101190	TCFL5
M00260_1	ENSG00000180535	BHLHA15
M00261_1	ENSG00000179774	ATOH7
M00262_1	ENSG00000197921	HES5
M00263_1	ENSG00000113196	HAND1
M00264_1	ENSG00000172238	ATOH1
M00265_1	ENSG00000172238	ATOH1
M00266_1	ENSG00000140262	TCF12
M00267_1	ENSG00000143437	ARNT
M00268_1	ENSG00000158773	USF1
M00269_1	ENSG00000125952	MAX
M00270_1	ENSG00000125952	MAX
M00271_1	ENSG00000125952	MAX
M00272_1	ENSG00000172238	ATOH1
M00275_1	ENSG00000111049	MYF5
M00276_1	ENSG00000111049	MYF5
M00277_1	ENSG00000111049	MYF5
M00278_1	ENSG00000111049	MYF5
M00279_1	ENSG00000111049	MYF5
M00280_1	ENSG00000179774	ATOH7
M00281_1	ENSG00000090447	TFAP4
M00283_1	ENSG00000125533	BHLHE23
M00287_1	ENSG00000125952	MAX
M00289_1	ENSG00000187098	MITF
M00359_1	ENSG00000245848	CEBPA
M00360_1	ENSG00000245848	CEBPA
M00361_1	ENSG00000245848	CEBPA
M00383_1	ENSG00000185022	MAFF
M00384_1	ENSG00000100219	XBP1
M00385_1	ENSG00000100219	XBP1
M00386_1	ENSG00000105516	DBP
M00387_1	ENSG00000123268	ATF1
M00388_1	ENSG00000123268	ATF1
M00389_1	ENSG00000170345	FOS
M00390_1	ENSG00000123268	ATF1
M00391_1	ENSG00000123268	ATF1
M00392_1	ENSG00000123268	ATF1
M00393_1	ENSG00000162772	ATF3
M00394_1	ENSG00000162772	ATF3
M00395_1	ENSG00000115966	ATF2
M00396_1	ENSG00000170345	FOS
M00397_1	ENSG00000162772	ATF3
M00398_1	ENSG00000162772	ATF3
M00399_1	ENSG00000245848	CEBPA
M00400_1	ENSG00000245848	CEBPA
M00401_1	ENSG00000245848	CEBPA
M00402_1	ENSG00000157613	CREB3L1
M00403_1	ENSG00000128272	ATF4
M00404_1	ENSG00000137504	CREBZF
M00405_1	ENSG00000185022	MAFF
M00406_1	ENSG00000245848	CEBPA
M00407_1	ENSG00000177606	JUN
M00408_1	ENSG00000177606	JUN
M00409_1	ENSG00000177606	JUN
M00410_1	ENSG00000153879	CEBPG
M00411_1	ENSG00000153879	CEBPG
M00412_1	ENSG00000153879	CEBPG
M00413_1	ENSG00000245848	CEBPA
M00414_1	ENSG00000245848	CEBPA
M00415_1	ENSG00000245848	CEBPA
M00416_1	ENSG00000245848	CEBPA
M00417_1	ENSG00000165030	NFIL3
M00418_1	ENSG00000105516	DBP
M00419_1	ENSG00000105516	DBP
M00420_1	ENSG00000123268	ATF1
M00421_1	ENSG00000177606	JUN
M00422_1	ENSG00000177606	JUN
M00423_1	ENSG00000177606	JUN
M00424_1	ENSG00000178573	MAF
M00425_1	ENSG00000115966	ATF2
M00426_1	ENSG00000177606	JUN
M00452_1	ENSG00000165030	NFIL3
M00497_1	ENSG00000140836	ZFHX3
M00545_1	ENSG00000010539	ZNF200
M00546_1	ENSG00000010539	ZNF200
M00547_1	ENSG00000010539	ZNF200
M00548_1	ENSG00000019549	SNAI2
M00549_1	ENSG00000019549	SNAI2
M00550_1	ENSG00000019549	SNAI2
M00551_1	ENSG00000105610	KLF1
M00552_1	ENSG00000105610	KLF1
M00553_1	ENSG00000105610	KLF1
M00554_1	ENSG00000105610	KLF1
M00555_1	ENSG00000113916	BCL6
M00556_1	ENSG00000113916	BCL6
M00557_1	ENSG00000120738	EGR1
M00558_1	ENSG00000120738	EGR1
M00559_1	ENSG00000120738	EGR1
M00560_1	ENSG00000120738	EGR1
M00561_1	ENSG00000120738	EGR1
M00562_1	ENSG00000125850	OVOL2
M00563_1	ENSG00000125850	OVOL2
M00566_1	ENSG00000162676	GFI1
M00567_1	ENSG00000162676	GFI1
M00568_1	ENSG00000162676	GFI1
M00569_1	ENSG00000162676	GFI1
M00570_1	ENSG00000162676	GFI1
M00571_1	ENSG00000155090	KLF10
M00572_1	ENSG00000155090	KLF10
M00573_1	ENSG00000184937	WT1
M00574_1	ENSG00000184937	WT1
M00575_1	ENSG00000184937	WT1
M00576_1	ENSG00000184937	WT1
M00577_1	ENSG00000184937	WT1
M00578_1	ENSG00000184937	WT1
M00579_1	ENSG00000184937	WT1
M00581_1	ENSG00000197343	ZNF655
M00582_1	ENSG00000197343	ZNF655
M00583_1	ENSG00000197343	ZNF655
M00584_1	ENSG00000161940	BCL6B
M00585_1	ENSG00000185591	SP1
M00586_1	ENSG00000126603	GLIS2
M00587_1	ENSG00000118495	PLAGL1
M00588_1	ENSG00000111087	GLI1
M00589_1	ENSG00000197062	ZSCAN26
M00590_1	ENSG00000143867	OSR1
M00591_1	ENSG00000006194	ZNF263
M00592_1	ENSG00000130182	ZSCAN10
M00595_1	ENSG00000185591	SP1
M00596_1	ENSG00000185591	SP1
M00597_1	ENSG00000111087	GLI1
M00599_1	ENSG00000166261	ZNF202
M00600_1	ENSG00000105610	KLF1
M00601_1	ENSG00000160685	ZBTB7B
M00602_1	ENSG00000188786	MTF1
M00603_1	ENSG00000106261	ZKSCAN1
M00605_1	ENSG00000099326	MZF1
M00607_1	ENSG00000152977	ZIC1
M00608_1	ENSG00000126804	ZBTB1
M00609_1	ENSG00000120738	EGR1
M00610_1	ENSG00000169926	KLF13
M00611_1	ENSG00000120738	EGR1
M00612_1	ENSG00000120738	EGR1
M00613_1	ENSG00000120738	EGR1
M00614_1	ENSG00000120738	EGR1
M00615_1	ENSG00000163848	ZNF148
M00616_1	ENSG00000105610	KLF1
M00617_1	ENSG00000152977	ZIC1
M00618_1	ENSG00000119725	ZNF410
M00619_1	ENSG00000124216	SNAI1
M00620_1	ENSG00000169635	HIC2
M00623_1	ENSG00000164011	ZNF691
M00624_1	ENSG00000139651	ZNF740
M00625_1	ENSG00000139651	ZNF740
M00626_1	ENSG00000143867	OSR1
M00628_1	ENSG00000111087	GLI1
M00629_1	ENSG00000198081	ZBTB14
M00630_1	ENSG00000204366	ZBTB12
M00632_1	ENSG00000196652	ZKSCAN5
M00633_1	ENSG00000169981	ZNF35
M00634_1	ENSG00000169740	ZNF32
M00636_1	ENSG00000152977	ZIC1
M00637_1	ENSG00000152977	ZIC1
M00638_1	ENSG00000185670	ZBTB3
M00639_1	ENSG00000105610	KLF1
M00640_1	ENSG00000005889	ZFX
M00643_1	ENSG00000107249	GLIS3
M00686_1	ENSG00000261678	SCRT1
M00693_1	ENSG00000172818	OVOL1
M00696_1	ENSG00000105610	KLF1
M00697_1	ENSG00000143867	OSR1
M00701_1	ENSG00000120738	EGR1
M00712_1	ENSG00000169926	KLF13
M00794_1	ENSG00000185591	SP1
M00797_1	ENSG00000185591	SP1
M00799_1	ENSG00000185591	SP1
M00804_1	ENSG00000185591	SP1
M00842_1	ENSG00000186487	MYT1L
M00858_1	ENSG00000065978	YBX1
M00860_1	ENSG00000168214	RBPJ
M00861_1	ENSG00000168214	RBPJ
M00862_1	ENSG00000168214	RBPJ
M00863_1	ENSG00000168214	RBPJ
M00864_1	ENSG00000168214	RBPJ
M00865_1	ENSG00000168214	RBPJ
M00866_1	ENSG00000168214	RBPJ
M00867_1	ENSG00000168214	RBPJ
M00870_1	ENSG00000169856	ONECUT1
M00872_1	ENSG00000154832	CXXC1
M00877_1	ENSG00000089094	KDM2B
M00878_1	ENSG00000118058	KMT2A
M00879_1	ENSG00000130816	DNMT1
M00880_1	ENSG00000138336	TET1
M00893_1	ENSG00000142025	DMRTC2
M00894_1	ENSG00000064218	DMRT3
M00895_1	ENSG00000137090	DMRT1
M00896_1	ENSG00000137090	DMRT1
M00897_1	ENSG00000173253	DMRT2
M00898_1	ENSG00000173253	DMRT2
M00899_1	ENSG00000142025	DMRTC2
M00900_1	ENSG00000142025	DMRTC2
M00902_1	ENSG00000142025	DMRTC2
M00903_1	ENSG00000173253	DMRT2
M00904_1	ENSG00000173253	DMRT2
M00912_1	ENSG00000142700	DMRTA2
M00954_1	ENSG00000101412	E2F1
M00955_1	ENSG00000101412	E2F1
M00956_1	ENSG00000101412	E2F1
M00957_1	ENSG00000101412	E2F1
M00958_1	ENSG00000101412	E2F1
M00959_1	ENSG00000101412	E2F1
M00960_1	ENSG00000101412	E2F1
M00965_1	ENSG00000007968	E2F2
M00973_1	ENSG00000066336	SPI1
M00974_1	ENSG00000066336	SPI1
M00975_1	ENSG00000135373	EHF
M00976_1	ENSG00000135373	EHF
M00977_1	ENSG00000126767	ELK1
M00978_1	ENSG00000126767	ELK1
M00979_1	ENSG00000126767	ELK1
M00980_1	ENSG00000066336	SPI1
M00981_1	ENSG00000126767	ELK1
M00982_1	ENSG00000126767	ELK1
M00983_1	ENSG00000126767	ELK1
M00984_1	ENSG00000126767	ELK1
M00985_1	ENSG00000135373	EHF
M00986_1	ENSG00000135373	EHF
M00987_1	ENSG00000126767	ELK1
M00988_1	ENSG00000126767	ELK1
M00989_1	ENSG00000126767	ELK1
M00990_1	ENSG00000124664	SPDEF
M00991_1	ENSG00000124664	SPDEF
M00992_1	ENSG00000126767	ELK1
M00993_1	ENSG00000135373	EHF
M00994_1	ENSG00000139083	ETV6
M00995_1	ENSG00000120690	ELF1
M00996_1	ENSG00000126767	ELK1
M00997_1	ENSG00000120690	ELF1
M00998_1	ENSG00000126767	ELK1
M00999_1	ENSG00000126767	ELK1
M01000_1	ENSG00000126767	ELK1
M01002_1	ENSG00000126767	ELK1
M01008_1	ENSG00000176165	FOXG1
M01012_1	ENSG00000054598	FOXC1
M01013_1	ENSG00000054598	FOXC1
M01014_1	ENSG00000054598	FOXC1
M01015_1	ENSG00000054598	FOXC1
M01016_1	ENSG00000054598	FOXC1
M01017_1	ENSG00000054598	FOXC1
M01018_1	ENSG00000054598	FOXC1
M01019_1	ENSG00000114861	FOXP1
M01020_1	ENSG00000164916	FOXK1
M01021_1	ENSG00000170802	FOXN2
M01022_1	ENSG00000176165	FOXG1
M01023_1	ENSG00000176302	FOXR1
M01024_1	ENSG00000111206	FOXM1
M01025_1	ENSG00000111206	FOXM1
M01026_1	ENSG00000109101	FOXN1
M01027_1	ENSG00000065970	FOXJ2
M01028_1	ENSG00000065970	FOXJ2
M01029_1	ENSG00000176165	FOXG1
M01030_1	ENSG00000114861	FOXP1
M01031_1	ENSG00000114861	FOXP1
M01032_1	ENSG00000065970	FOXJ2
M01033_1	ENSG00000065970	FOXJ2
M01034_1	ENSG00000129654	FOXJ1
M01035_1	ENSG00000129514	FOXA1
M01036_1	ENSG00000109101	FOXN1
M01037_1	ENSG00000150907	FOXO1
M01038_1	ENSG00000150907	FOXO1
M01039_1	ENSG00000054598	FOXC1
M01040_1	ENSG00000150907	FOXO1
M01041_1	ENSG00000054598	FOXC1
M01042_1	ENSG00000150907	FOXO1
M01043_1	ENSG00000164916	FOXK1
M01044_1	ENSG00000129514	FOXA1
M01046_1	ENSG00000054598	FOXC1
M01047_1	ENSG00000176165	FOXG1
M01049_1	ENSG00000176165	FOXG1
M01050_1	ENSG00000139445	FOXN4
M01051_1	ENSG00000170802	FOXN2
M01055_1	ENSG00000065970	FOXJ2
M01056_1	ENSG00000164916	FOXK1
M01058_1	ENSG00000170802	FOXN2
M01059_1	ENSG00000150907	FOXO1
M01062_1	ENSG00000171956	FOXB1
M01070_1	ENSG00000129514	FOXA1
M01104_1	ENSG00000102145	GATA1
M01105_1	ENSG00000102145	GATA1
M01106_1	ENSG00000102145	GATA1
M01107_1	ENSG00000102145	GATA1
M01133_1	ENSG00000137270	GCM1
M01134_1	ENSG00000137270	GCM1
M01135_1	ENSG00000137270	GCM1
M01136_1	ENSG00000137270	GCM1
M01137_1	ENSG00000137270	GCM1
M01138_1	ENSG00000137270	GCM1
M01139_1	ENSG00000137270	GCM1
M01140_1	ENSG00000137270	GCM1
M01141_1	ENSG00000137270	GCM1
M01146_1	ENSG00000135457	TFCP2
M01191_1	ENSG00000170549	IRX1
M01195_1	ENSG00000143995	MEIS1
M01206_1	ENSG00000109705	NKX3-2
M01208_1	ENSG00000165606	DRGX
M01209_1	ENSG00000180318	ALX1
M01211_1	ENSG00000106031	HOXA13
M01212_1	ENSG00000180318	ALX1
M01213_1	ENSG00000180318	ALX1
M01214_1	ENSG00000180318	ALX1
M01215_1	ENSG00000180318	ALX1
M01216_1	ENSG00000180318	ALX1
M01217_1	ENSG00000180318	ALX1
M01218_1	ENSG00000180318	ALX1
M01219_1	ENSG00000180318	ALX1
M01220_1	ENSG00000180318	ALX1
M01221_1	ENSG00000100987	VSX1
M01222_1	ENSG00000180318	ALX1
M01223_1	ENSG00000180318	ALX1
M01224_1	ENSG00000180318	ALX1
M01225_1	ENSG00000105392	CRX
M01226_1	ENSG00000180318	ALX1
M01227_1	ENSG00000180318	ALX1
M01228_1	ENSG00000180318	ALX1
M01229_1	ENSG00000105717	PBX4
M01230_1	ENSG00000185630	PBX1
M01231_1	ENSG00000169840	GSX1
M01232_1	ENSG00000106410	NOBOX
M01233_1	ENSG00000106689	LHX2
M01234_1	ENSG00000106852	LHX6
M01235_1	ENSG00000180318	ALX1
M01236_1	ENSG00000109132	PHOX2B
M01237_1	ENSG00000109132	PHOX2B
M01238_1	ENSG00000109132	PHOX2B
M01239_1	ENSG00000180318	ALX1
M01240_1	ENSG00000107807	TLX1
M01241_1	ENSG00000148704	VAX1
M01242_1	ENSG00000148704	VAX1
M01243_1	ENSG00000119614	VSX2
M01244_1	ENSG00000119614	VSX2
M01245_1	ENSG00000180318	ALX1
M01246_1	ENSG00000163132	MSX1
M01247_1	ENSG00000120149	MSX2
M01248_1	ENSG00000163132	MSX1
M01249_1	ENSG00000123576	ESX1
M01250_1	ENSG00000156150	ALX3
M01251_1	ENSG00000106031	HOXA13
M01252_1	ENSG00000106031	HOXA13
M01253_1	ENSG00000106031	HOXA13
M01254_1	ENSG00000106031	HOXA13
M01255_1	ENSG00000106031	HOXA13
M01256_1	ENSG00000106031	HOXA13
M01257_1	ENSG00000106031	HOXA13
M01258_1	ENSG00000106031	HOXA13
M01259_1	ENSG00000135638	EMX1
M01260_1	ENSG00000136352	NKX2-1
M01261_1	ENSG00000136352	NKX2-1
M01262_1	ENSG00000136367	ZFHX2
M01263_1	ENSG00000138136	LBX1
M01264_1	ENSG00000151650	VENTX
M01265_1	ENSG00000151650	VENTX
M01266_1	ENSG00000151650	VENTX
M01267_1	ENSG00000151650	VENTX
M01268_1	ENSG00000106031	HOXA13
M01269_1	ENSG00000163666	HESX1
M01270_1	ENSG00000163666	HESX1
M01271_1	ENSG00000163666	HESX1
M01272_1	ENSG00000163666	HESX1
M01273_1	ENSG00000165606	DRGX
M01274_1	ENSG00000164093	PITX2
M01275_1	ENSG00000164093	PITX2
M01276_1	ENSG00000004848	ARX
M01277_1	ENSG00000004848	ARX
M01278_1	ENSG00000165156	ZHX1
M01280_1	ENSG00000175325	PROP1
M01281_1	ENSG00000175325	PROP1
M01282_1	ENSG00000156150	ALX3
M01283_1	ENSG00000180318	ALX1
M01284_1	ENSG00000180318	ALX1
M01285_1	ENSG00000136352	NKX2-1
M01286_1	ENSG00000183072	NKX2-5
M01287_1	ENSG00000183072	NKX2-5
M01288_1	ENSG00000136352	NKX2-1
M01289_1	ENSG00000136352	NKX2-1
M01290_1	ENSG00000184271	POU6F1
M01291_1	ENSG00000126778	SIX1
M01292_1	ENSG00000126778	SIX1
M01293_1	ENSG00000126778	SIX1
M01294_1	ENSG00000180318	ALX1
M01295_1	ENSG00000169840	GSX1
M01296_1	ENSG00000198353	HOXC4
M01297_1	ENSG00000169840	GSX1
M01298_1	ENSG00000227059	ANHX
M01300_1	ENSG00000105997	HOXA3
M01301_1	ENSG00000105997	HOXA3
M01302_1	ENSG00000260027	HOXB7
M01303_1	ENSG00000105996	HOXA2
M01304_1	ENSG00000106689	LHX2
M01305_1	ENSG00000253293	HOXA10
M01306_1	ENSG00000253293	HOXA10
M01307_1	ENSG00000169840	GSX1
M01308_1	ENSG00000165462	PHOX2A
M01309_1	ENSG00000105996	HOXA2
M01310_1	ENSG00000136352	NKX2-1
M01311_1	ENSG00000170549	IRX1
M01312_1	ENSG00000144355	DLX1
M01313_1	ENSG00000164900	GBX1
M01314_1	ENSG00000106031	HOXA13
M01315_1	ENSG00000253293	HOXA10
M01316_1	ENSG00000253293	HOXA10
M01317_1	ENSG00000253293	HOXA10
M01318_1	ENSG00000106038	EVX1
M01319_1	ENSG00000106031	HOXA13
M01320_1	ENSG00000106038	EVX1
M01321_1	ENSG00000105392	CRX
M01323_1	ENSG00000148704	VAX1
M01324_1	ENSG00000143995	MEIS1
M01325_1	ENSG00000180318	ALX1
M01326_1	ENSG00000111704	NANOG
