motif_id	tf_name
M0082_1.02	Tcfap2a
M0083_1.02	Tcfap2a
M0084_1.02	Tcfap2a
M0085_1.02	Tcfap2a
M0100_1.02	Arid3b
M0103_1.02	Arid3b
M0104_1.02	Arid3b
M0105_1.02	Arid3b
M0106_1.02	Arid3b
M0107_1.02	Arid5b
M0108_1.02	Arid5b
M0109_1.02	Arid3b
M0110_1.02	Arid5b
M0111_1.02	Arid3b
M0114_1.02	Arid3b
M0118_1.02	Zfp957
M0121_1.02	Setbp1
M0122_1.02	Hmga1
M0123_1.02	Setbp1
M0124_1.02	Setbp1
M0125_1.02	Setbp1
M0126_1.02	Setbp1
M0127_1.02	Setbp1
M0128_1.02	Setbp1
M0129_1.02	Setbp1
M0130_1.02	Setbp1
M0131_1.02	Setbp1
M0132_1.02	Hmga1
M0133_1.02	Setbp1
M0134_1.02	Hmga1
M0135_1.02	Setbp1
M0139_1.02	Hmga2
M0144_1.02	Setbp1
M0145_1.02	Setbp1
M0168_1.02	Myf5
M0174_1.02	Tcfe3
M0175_1.02	Mnt
M0176_1.02	Tcfap4
M0177_1.02	Twist2
M0178_1.02	Ascl2
M0179_1.02	Arnt
M0180_1.02	Arnt
M0181_1.02	Mlx
M0182_1.02	Mlx
M0183_1.02	Hey2
M0184_1.02	Tcf3
M0185_1.02	Tcf3
M0186_1.02	Tcf3
M0187_1.02	Srebf1
M0188_1.02	Srebf1
M0189_1.02	Id3
M0190_1.02	Srebf1
M0191_1.02	Hes1
M0192_1.02	Hes7
M0193_1.02	Tcfe3
M0194_1.02	Bhlhe22
M0195_1.02	Msc
M0196_1.02	Npas2
M0197_1.02	Usf1
M0198_1.02	Sohlh2
M0199_1.02	Hes1
M0200_1.02	Npas2
M0201_1.02	Tcfe3
M0202_1.02	Tcfe3
M0203_1.02	Figla
M0204_1.02	Bhlhe40
M0205_1.02	Bhlhe40
M0206_1.02	Bhlhe40
M0207_1.02	Tcf3
M0208_1.02	Tcfe3
M0209_1.02	Myf5
M0210_1.02	Myf5
M0211_1.02	Mlxip
M0212_1.02	Tcfl5
M0213_1.02	Bhlhe22
M0214_1.02	Msc
M0215_1.02	Hes5
M0216_1.02	Tal1
M0217_1.02	Neurog2
M0218_1.02	Bhlha15
M0219_1.02	Tcf3
M0220_1.02	Arnt
M0221_1.02	Max
M0222_1.02	Max
M0223_1.02	Max
M0224_1.02	Neurod1
M0225_1.02	Usf1
M0228_1.02	Tcfap4
M0240_1.02	Tcfe3
M0274_1.02	Cebpd
M0290_1.02	Mafk
M0291_1.02	Xbp1
M0292_1.02	Xbp1
M0293_1.02	Hlf
M0294_1.02	Atf1
M0295_1.02	Atf1
M0296_1.02	Fosb
M0297_1.02	Atf1
M0298_1.02	Atf3
M0299_1.02	Atf3
M0300_1.02	Atf2
M0301_1.02	Fosb
M0302_1.02	Atf3
