cage_id_hg19	cage_id_mm9	tss_name_hg19	tss_name_mm9	biotype_hg19	biotype_mm9	chr_hg19	tss_coord_hg19	strand_hg19	chr_mm9	tss_coord_mm9	strand_mm9	max_cage_hg19	max_cage_mm9	stem_cage_hg19	stem_cage_mm9
chr1:2984976..2984989,-	chr4:154011655..154011673,+	ENSG00000177133.6	ENSMUSG00000085069.2	lncRNA	lncRNA	chr1	2984981	-	chr4	154011663	+	367.0	2286.0	0.027777800000000002	0.0175
chr1:2984997..2985037,-	chr4:154011655..154011673,+	ENSG00000177133.6	ENSMUSG00000085069.2	lncRNA	lncRNA	chr1	2985002	-	chr4	154011663	+	367.0	2286.0	0.0311111	0.0175
chr1:2985420..2985438,-	chr4:154011250..154011257,+	ENSG00000177133.6	ENSMUSG00000085069.2	lncRNA	lncRNA	chr1	2985430	-	chr4	154011252	+	6966.0	1361.0	0.07111110000000001	0.0
chr1:8086546..8086571,+	chr4:150229039..150229050,-	ENSG00000238290.1	ENSMUSG00000078492.3	lncRNA	lncRNA	chr1	8086552	+	chr4	150229044	-	960.0	123.0	0.10444400000000001	0.0
chr1:26498321..26498327,-	chr4:133799669..133799683,+	ENSG00000236782.1	ENSMUSG00000086322.7	other	mRNA	chr1	26498322	-	chr4	133799677	+	753.0	770.0	0.03	0.0
chr1:65533390..65533443,-	chr4:101029310..101029334,-	ENSG00000231485.1	ENSMUSG00000086782.2	lncRNA	other	chr1	65533428	-	chr4	101029317	-	2032.0	1120.0	0.841111	0.4975
chr1:65533457..65533465,-	chr4:101029310..101029334,-	ENSG00000231485.1	ENSMUSG00000086782.2	lncRNA	other	chr1	65533462	-	chr4	101029317	-	2032.0	1120.0	0.116667	0.4975
chr1:71547013..71547057,+	chr3:157197041..157197058,-	ENSG00000229956.5	ENSMUSG00000105834.1	lncRNA	lncRNA	chr1	71547031	+	chr3	157197051	-	835.0	458.0	0.401111	0.2925
chr1:95975684..95975731,+	chr3:120589646..120589664,-	ENSG00000228971.2	ENSMUSG00000098097.7	other	lncRNA	chr1	95975698	+	chr3	120589658	-	904.0	166.0	0.09	0.0
chr1:98515146..98515159,-	chr3:118133217..118133286,+	ENSG00000225206.4	ENSMUSG00000097311.7	lncRNA	other	chr1	98515153	-	chr3	118133265	+	840.0	497.0	0.0	0.05125
chr1:98515173..98515200,-	chr3:118133217..118133286,+	ENSG00000225206.4	ENSMUSG00000097311.7	lncRNA	other	chr1	98515194	-	chr3	118133265	+	840.0	497.0	0.0	0.05125
chr1:101491406..101491471,+	chr3:115591004..115591055,-	ENSG00000233184.2	ENSMUSG00000054426.11	other	other	chr1	101491462	+	chr3	115591014	-	8771.0	11637.0	5.603330000000001	3.8625
chr1:101702167..101702180,-	chr3:115418074..115418090,+	ENSG00000225938.1	ENSMUSG00000052769.7	lncRNA	lncRNA	chr1	101702171	-	chr3	115418088	+	3109.0	625.0	0.0133333	0.155
chr1:145096387..145096477,+	chr3:97705122..97705173,+	ENSG00000223380.3	ENSMUSG00000027879.9	mRNA	mRNA	chr1	145096407	+	chr3	97705149	+	79877.0	44332.0	31.8444	25.7075
chr1:145096480..145096513,+	chr3:97705122..97705173,+	ENSG00000223380.3	ENSMUSG00000027879.9	mRNA	mRNA	chr1	145096494	+	chr3	97705149	+	53131.0	44332.0	5.615559999999999	25.7075
chr1:151763294..151763320,+	chr3:94216809..94216812,-	ENSG00000203288.3	ENSMUSG00000097515.2	lncRNA	lncRNA	chr1	151763309	+	chr3	94216810	-	1646.0	90.0	0.79	0.0
chr1:151763321..151763339,+	chr3:94216809..94216812,-	ENSG00000203288.3	ENSMUSG00000097515.2	lncRNA	lncRNA	chr1	151763331	+	chr3	94216810	-	1646.0	90.0	0.218889	0.0
chr1:155531819..155531833,+	chr3:88755068..88755135,-	ENSG00000235919.3	ENSMUSG00000068921.14	other	mRNA	chr1	155531820	+	chr3	88755084	-	2913.0	1052.0	0.712222	3.07375
chr1:173604472..173604481,+	chr1:163089441..163089445,-	ENSG00000232113.1	ENSMUSG00000049160.15	lncRNA	lncRNA	chr1	173604476	+	chr1	163089443	-	26.0	828.0	0.04	0.0
chr1:179851611..179851688,-	chr1:157883318..157883388,+	ENSG00000272906.1	ENSMUSG00000050565.16	lncRNA	mRNA	chr1	179851618	-	chr1	157883365	+	1181.0	1238.0	0.946667	0.89875
chr1:179852118..179852175,-	chr1:157882835..157882893,+	ENSG00000272906.1	ENSMUSG00000050565.16	lncRNA	mRNA	chr1	179852157	-	chr1	157882856	+	743.0	25153.0	1.26778	21.3487
chr1:185286578..185286606,+	chr1:153191448..153191483,-	ENSG00000273004.1	ENSMUSG00000100954.4	lncRNA	lncRNA	chr1	185286599	+	chr1	153191467	-	548.0	1725.0	0.0744444	1.65625
chr1:198906528..198906573,-	chr1:139795137..139795194,+	ENSG00000229989.3	ENSMUSG00000098243.3	lncRNA	other	chr1	198906557	-	chr1	139795165	+	34919.0	47409.0	0.0677778	0.0825
chr1:200638629..200638641,+	chr1:138312085..138312107,-	ENSG00000260088.1	ENSMUSG00000097403.2	lncRNA	other	chr1	200638634	+	chr1	138312095	-	394.0	1511.0	0.0144444	0.575
chr1:200993071..200993094,+	chr1:138027752..138027762,-	ENSG00000229191.1	ENSMUSG00000086264.9	other	lncRNA	chr1	200993076	+	chr1	138027758	-	345.0	457.0	1.7444400000000002	0.10625
chr1:208042503..208042527,-	chr1:196802536..196802585,+	ENSG00000203709.5	ENSMUSG00000096929.7	other	other	chr1	208042510	-	chr1	196802575	+	6327.0	1790.0	0.10444400000000001	0.28875
chr1:209602156..209602174,+	chr1:195336396..195336410,-	ENSG00000230937.5	ENSMUSG00000097850.2	other	other	chr1	209602164	+	chr1	195336403	-	133864.0	21151.0	17.4833	2.96
chr1:209602671..209602695,+	chr1:195336318..195336327,-	ENSG00000230937.5	ENSMUSG00000097850.2	other	other	chr1	209602689	+	chr1	195336321	-	212.0	1306.0	0.0266667	2.58625
chr1:209602697..209602719,+	chr1:195336318..195336327,-	ENSG00000230937.5	ENSMUSG00000097850.2	other	other	chr1	209602704	+	chr1	195336321	-	212.0	1306.0	0.027777800000000002	2.58625
