hg19_id	mm9_id	cage_id_hg19	cage_id_mm9	name_peak_hg19	name_peak_mm9	biotype_hg19	biotype_mm9	minimal_biotype_hg19	minimal_biotype_mm9	chr_tss_hg19	start_tss_hg19	end_tss_hg19	strand_tss_hg19	chr_tss_mm9	start_tss_mm9	end_tss_mm9	strand_tss_mm9	avg_exp_hg19	avg_exp_mm9	stem_exp_hg19	stem_exp_mm9	max_cage_hg19	max_cage_mm9	orig_species	har	tss_tile_num_max_hg19	tss_tile_num_max_mm9	n_tiles_hg19	n_tiles_mm9	tile_match
h.0	m.0	chr1:2984976..2984989,-	chr4:154011655..154011673,+	ENSG00000177133.6	ENSMUSG00000085069.2	divergent	divergent	lncRNA	lncRNA	chr1	2984981	2984982	-	chr4	154011663	154011664	+	0.1	0.43	0.027777800000000002	0.0175	367.0	2286.0	human	False					
h.1	m.0	chr1:2984997..2985037,-	chr4:154011655..154011673,+	ENSG00000177133.6	ENSMUSG00000085069.2	divergent	divergent	lncRNA	lncRNA	chr1	2985002	2985003	-	chr4	154011663	154011664	+	0.29	0.43	0.0311111	0.0175	367.0	2286.0	human	False					
h.2	m.1	chr1:2985420..2985438,-	chr4:154011250..154011257,+	ENSG00000177133.6	ENSMUSG00000085069.2	divergent	divergent	lncRNA	lncRNA	chr1	2985430	2985431	-	chr4	154011252	154011253	+	2.54	0.85	0.07111110000000001	0.0	6966.0	1361.0	human	False	tile1	tile1	2.0	2.0	tile1:tile1
h.3	m.2	chr1:8086546..8086571,+	chr4:150229039..150229050,-	ENSG00000238290.1	ENSMUSG00000078492.3	divergent	antisense	lncRNA	lncRNA	chr1	8086552	8086553	+	chr4	150229044	150229045	-	0.3	0.14	0.10444400000000001	0.0	960.0	123.0	human	False	tile1	tile1	1.0	1.0	tile1:tile1
h.4	m.3	chr1:26498321..26498327,-	chr4:133799669..133799683,+	ENSG00000236782.1	ENSMUSG00000086322.7	antisense	protein_coding	other	mRNA	chr1	26498322	26498323	-	chr4	133799677	133799678	+	0.19	0.25	0.03	0.0	753.0	770.0	human	False	tile1	tile1	2.0	2.0	tile1:tile1
h.5	m.4	chr1:65533390..65533443,-	chr4:101029310..101029334,-	ENSG00000231485.1	ENSMUSG00000086782.2	intergenic	intergenic	lncRNA	other	chr1	65533428	65533429	-	chr4	101029317	101029318	-	1.84	0.61	0.841111	0.4975	2032.0	1120.0	human	False	tile1	tile2	2.0	4.0	tile1:tile2
h.6	m.4	chr1:65533457..65533465,-	chr4:101029310..101029334,-	ENSG00000231485.1	ENSMUSG00000086782.2	intergenic	intergenic	lncRNA	other	chr1	65533462	65533463	-	chr4	101029317	101029318	-	0.13	0.61	0.116667	0.4975	2032.0	1120.0	human	False	tile1	tile2	2.0	4.0	tile1:tile2
h.7	m.5	chr1:71547013..71547057,+	chr3:157197041..157197058,-	ENSG00000229956.5	ENSMUSG00000105834.1	divergent	divergent	lncRNA	lncRNA	chr1	71547031	71547032	+	chr3	157197051	157197052	-	1.14	0.32	0.401111	0.2925	835.0	458.0	human	False	tile1	tile1	1.0	2.0	tile1:tile1
h.8	m.6	chr1:95975684..95975731,+	chr3:120589646..120589664,-	ENSG00000228971.2	ENSMUSG00000098097.7	intergenic	intergenic	other	lncRNA	chr1	95975698	95975699	+	chr3	120589658	120589659	-	0.84	0.1	0.09	0.0	904.0	166.0	human	False	tile2	tile1	2.0	2.0	tile1:tile2
h.9	m.7	chr1:98515146..98515159,-	chr3:118133217..118133286,+	ENSG00000225206.4	ENSMUSG00000097311.7	intergenic	intergenic	lncRNA	other	chr1	98515153	98515154	-	chr3	118133265	118133266	+	0.06	0.99	0.0	0.05125	840.0	497.0	human	False	tile1	tile1	2.0	4.0	tile1:tile1
h.10	m.7	chr1:98515173..98515200,-	chr3:118133217..118133286,+	ENSG00000225206.4	ENSMUSG00000097311.7	intergenic	intergenic	lncRNA	other	chr1	98515194	98515195	-	chr3	118133265	118133266	+	0.4	0.99	0.0	0.05125	840.0	497.0	human	False	tile2	tile1	2.0	4.0	tile1:tile2
