gene_id_human	gene_name_human	gene_id_mouse	gene_name_mouse	mean_tpm_mouse
ENSG00000197921	HES5	ENSMUSG00000048001	Hes5	0.0
ENSG00000142611	PRDM16	ENSMUSG00000039410	Prdm16	612.9532598778443
ENSG00000078900	TP73	ENSMUSG00000029026	Trp73	239.67403997539466
ENSG00000173673	HES3	ENSMUSG00000028946	Hes3	0.0
ENSG00000069812	HES2	ENSMUSG00000028940	Hes2	1.9493652589928363
ENSG00000204859	ZBTB48	ENSMUSG00000028952	Zbtb48	342.804146005051
ENSG00000009709	PAX7	ENSMUSG00000028736	Pax7	3.5995584798595495
ENSG00000125945	ZNF436	ENSMUSG00000051351	Zfp46	177.66594867685967
ENSG00000007968	E2F2	ENSMUSG00000018983	E2f2	168.22400222242567
ENSG00000020633	RUNX3	ENSMUSG00000070691	Runx3	12.521235276501011
ENSG00000131914	LIN28A	ENSMUSG00000050966	Lin28a	1748.28417836753
ENSG00000162419	GMEB1	ENSMUSG00000028901	Gmeb1	830.2038706724796
ENSG00000116819	TFAP2E	ENSMUSG00000042477	Tfap2e	0.6444200943432157
ENSG00000188786	MTF1	ENSMUSG00000028890	Mtf1	865.6545483012401
ENSG00000185668	POU3F1	ENSMUSG00000090125	Pou3f1	0.0
ENSG00000163909	HEYL	ENSMUSG00000032744	Heyl	0.0
ENSG00000116990	MYCL	ENSMUSG00000028654	Mycl	319.8995527163916
ENSG00000187815	ZFP69	ENSMUSG00000064141	Zfp69	30.552679162089692
ENSG00000066136	NFYC	ENSMUSG00000032897	Nfyc	892.659436656155
ENSG00000204060	FOXO6	ENSMUSG00000052135	Foxo6	101.5670960829476
ENSG00000127124	HIVEP3	ENSMUSG00000028634	Hivep3	1.05184914461448
ENSG00000198815	FOXJ3	ENSMUSG00000032998	Foxj3	1459.71072040512
ENSG00000065978	YBX1	ENSMUSG00000028639	Ybx1	19654.771824695465
ENSG00000164011	ZNF691	ENSMUSG00000045268	Zfp691	99.28426314060694
ENSG00000171872	KLF17	ENSMUSG00000048626	Klf17	1.94131277101124
ENSG00000197587	DMBX1	ENSMUSG00000028707	Dmbx1	15.124514652183159
ENSG00000162367	TAL1	ENSMUSG00000028717	Tal1	6.899944921592986
ENSG00000186790	FOXE3	ENSMUSG00000044518	Foxe3	0.0
ENSG00000186564	FOXD2	ENSMUSG00000055210	Foxd2	0.69049611243419
ENSG00000142700	DMRTA2	ENSMUSG00000047143	Dmrta2	22.3389392124314
ENSG00000174332	GLIS1	ENSMUSG00000034762	Glis1	1.0057731265235021
ENSG00000177606	JUN	ENSMUSG00000052684	Jun	382.136055082194
ENSG00000162599	NFIA	ENSMUSG00000028565	Nfia	14.752975998001398
ENSG00000187140	FOXD3	ENSMUSG00000067261	Foxd3	316.57138670160435
ENSG00000137947	GTF2B	ENSMUSG00000028271	Gtf2b	642.2950418418617
ENSG00000143032	BARHL2	ENSMUSG00000034384	Barhl2	0.95164462045093
ENSG00000162676	GFI1	ENSMUSG00000029275	Gfi1	1.2968926766680267
ENSG00000156150	ALX3	ENSMUSG00000014603	Alx3	0.0
ENSG00000177551	NHLH2	ENSMUSG00000048540	Nhlh2	0.0
ENSG00000092607	TBX15	ENSMUSG00000027868	Tbx15	97.50966049090717
ENSG00000143067	ZNF697	ENSMUSG00000050064	Zfp697	11.485491107849711
ENSG00000143437	ARNT	ENSMUSG00000015522	Arnt	2095.6169942752936
ENSG00000143379	SETDB1	ENSMUSG00000015697	Setdb1	2789.633173337383
ENSG00000143390	RFX5	ENSMUSG00000005774	Rfx5	348.307041166537
ENSG00000143365	RORC	ENSMUSG00000028150	Rorc	1.8411082468476903
ENSG00000143578	CREB3L4	ENSMUSG00000027938	Creb3l4	45.78977542951159
ENSG00000160685	ZBTB7B	ENSMUSG00000028042	Zbtb7b	905.7344289659086
ENSG00000116604	MEF2D	ENSMUSG00000001419	Mef2d	1213.0977722804134
ENSG00000117036	ETV3	ENSMUSG00000003382	Etv3	494.24435854086664
ENSG00000171786	NHLH1	ENSMUSG00000051251	Nhlh1	0.0
ENSG00000158773	USF1	ENSMUSG00000026641	Usf1	1286.78614556069
ENSG00000143257	NR1I3	ENSMUSG00000005677	Nr1i3	9.72411036538392
ENSG00000118217	ATF6	ENSMUSG00000026663	Atf6	908.5426479037193
ENSG00000185630	PBX1	ENSMUSG00000052534	Pbx1	273.487687955469
ENSG00000162761	LMX1A	ENSMUSG00000026686	Lmx1a	4.219821110257979
ENSG00000143171	RXRG	ENSMUSG00000015843	Rxrg	0.35330054419869333
ENSG00000143190	POU2F1	ENSMUSG00000026565	Pou2f1	1255.6414307063667
ENSG00000143178	TBX19	ENSMUSG00000026572	Tbx19	0.29917203812611903
ENSG00000116132	PRRX1	ENSMUSG00000026586	Prrx1	0.29917203812611903
ENSG00000185278	ZBTB37	ENSMUSG00000043467	Zbtb37	159.28327904603836
ENSG00000121454	LHX4	ENSMUSG00000026468	Lhx4	0.8975161143783565
ENSG00000143355	LHX9	ENSMUSG00000019230	Lhx9	0.29917203812611903
ENSG00000116833	NR5A2	ENSMUSG00000026398	Nr5a2	1762.5883236037832
ENSG00000162702	ZNF281	ENSMUSG00000041483	Zfp281	1311.7004826633831
ENSG00000163435	ELF3	ENSMUSG00000003051	Elf3	2462.399771541743
ENSG00000122180	MYOG	ENSMUSG00000026459	Myog	3.276228977788646
ENSG00000143842	SOX13	ENSMUSG00000070643	Sox13	671.50709174129
ENSG00000158711	ELK4	ENSMUSG00000026436	Elk4	184.249914090379
ENSG00000117595	IRF6	ENSMUSG00000026638	Irf6	211.88041475358798
ENSG00000162772	ATF3	ENSMUSG00000026628	Atf3	99.20464141200402
ENSG00000123685	BATF3	ENSMUSG00000026630	Batf3	2.33263684531931
ENSG00000117707	PROX1	ENSMUSG00000010175	Prox1	9.162348284876552
ENSG00000196482	ESRRG	ENSMUSG00000026610	Esrrg	1.25081665857705
ENSG00000136630	HLX	ENSMUSG00000039377	Hlx	1.3890447128499799
ENSG00000185155	MIXL1	ENSMUSG00000026497	Mixl1	6.493957405686249
ENSG00000179456	ZBTB18	ENSMUSG00000063659	Zbtb18	368.47576559826274
ENSG00000188295	ZNF669	ENSMUSG00000055150	Zfp78	90.87006670189676
ENSG00000196418	ZNF124	ENSMUSG00000055150	Zfp78	90.87006670189676
ENSG00000164256	PRDM9	ENSMUSG00000055150	Zfp78	90.87006670189676
ENSG00000251192	ZNF674	ENSMUSG00000055150	Zfp78	90.87006670189676
ENSG00000215372	ZNF705G	ENSMUSG00000055150	Zfp78	90.87006670189676
ENSG00000215356	ZNF705B	ENSMUSG00000055150	Zfp78	90.87006670189676
ENSG00000215343	ZNF705D	ENSMUSG00000055150	Zfp78	90.87006670189676
ENSG00000196946	ZNF705A	ENSMUSG00000055150	Zfp78	90.87006670189676
ENSG00000214029	ZNF891	ENSMUSG00000055150	Zfp78	90.87006670189676
ENSG00000130684	ZNF337	ENSMUSG00000055150	Zfp78	90.87006670189676
ENSG00000172006	ZNF554	ENSMUSG00000055150	Zfp78	90.87006670189676
ENSG00000186300	ZNF555	ENSMUSG00000055150	Zfp78	90.87006670189676
ENSG00000171295	ZNF440	ENSMUSG00000055150	Zfp78	90.87006670189676
ENSG00000171291	ZNF439	ENSMUSG00000055150	Zfp78	90.87006670189676
