hg19_id	chr_tss_hg19	start_tss_hg19	biotype_hg19	cage_id_hg19	name_peak_hg19	minimal_biotype_hg19	stem_exp_hg19	mm9_id	chr_tss_mm9	start_tss_mm9	biotype_mm9	cage_id_mm9	name_peak_mm9	minimal_biotype_mm9	stem_exp_mm9	tss_tile_num	orig_species	biotype_switch_minimal	HUES64_hg19	mESC_hg19	HUES64_mm9	mESC_mm9	HUES64_padj_hg19	mESC_padj_hg19	HUES64_padj_mm9	mESC_padj_mm9	logFC_native	fdr_native	native_status	native_status_det	logFC_cis_HUES64	fdr_cis_HUES64	logFC_cis_mESC	fdr_cis_mESC	cis_HUES64_status	cis_mESC_status	cis_HUES64_status_det	cis_mESC_status_det	cis_status_one	cis_status_det_one	logFC_cis_one	logFC_trans_human	fdr_trans_human	logFC_trans_mouse	fdr_trans_mouse	trans_human_status	trans_mouse_status	trans_human_status_det	trans_mouse_status_det	trans_status_one	trans_status_det_one	logFC_trans_one	logFC_int	fdr_int	cis_trans_int_status	cis_trans_int_status_det
h.2	chr1	2985430.0	divergent	chr1:2985420..2985438,-	ENSG00000177133.6	lncRNA	0.07111110000000001	m.1	chr4	154011252.0	divergent	chr4:154011250..154011257,+	ENSMUSG00000085069.2	lncRNA	0.0	tile1	human	lncRNA	2.10213741786167	1.1739996374660402	1.9293674398826701	1.17940851870705	0.00181211619678315	0.695863019195002	0.00881970813799322	0.6926884848062329	-0.31261238385839896	0.32666256117784304	no native effect	no native effect	-0.0864433715007406	0.8002439644917859	-0.12514276407587302	0.7470904128449569	no cis effect	no cis effect	no cis effect	no cis effect	no cis effect	no cis effect	-0.12514276407587302	-0.323504712410389	0.272221587507342	-0.32592023401319203	0.17398563506235096	no trans effect	no trans effect	no trans effect	no trans effect	no trans effect	no trans effect	-0.32592023401319203	-0.0507797976367492	0.9911147462268158	no cis/trans int. effect	no cis/trans int. effect
h.3	chr1	8086552.0	divergent	chr1:8086546..8086571,+	ENSG00000238290.1	lncRNA	0.10444400000000001	m.2	chr4	150229044.0	antisense	chr4:150229039..150229050,-	ENSMUSG00000078492.3	lncRNA	0.0	tile1	human	lncRNA	1.20190365717292	1.17608402648194	1.31226989455828	1.9147428372303998	0.4883016831087	0.6945105497556999	0.349788340636021	0.0554045682753228	2.40083794255042	3.14740988096621e-08	significant native effect	"native effect
(higher in mouse)"	1.8018112056179398	1.7714225047062e-05	1.8164708700138101	0.00306890543035425	significant cis effect	no cis effect	"cis effect
(higher in mouse)"	no cis effect	significant cis effect	"cis effect
(higher in mouse)"	1.8018112056179398	0.476061514468008	0.40559043757672397	0.533475858251616	0.0428106828612042	no trans effect	no trans effect	no trans effect	no trans effect	no trans effect	no trans effect	0.533475858251616	-0.40562929031649797	0.908445056166379	no cis/trans int. effect	no cis/trans int. effect
h.4	chr1	26498322.0	antisense	chr1:26498321..26498327,-	ENSG00000236782.1	other	0.03	m.3	chr4	133799677.0	protein_coding	chr4:133799669..133799683,+	ENSMUSG00000086322.7	mRNA	0.0	tile1	human	biotype switch	1.408476193753	1.4285989766627902	1.6539143709559598	1.49962805599332	0.24280306175164004	0.45050738139513596	0.0672447414789211	0.368915033891142	0.391243117882889	0.19158977083981	no native effect	no native effect	0.29609237399788	0.348878756617022	0.0463451860690364	0.903578877550064	no cis effect	no cis effect	no cis effect	no cis effect	no cis effect	no cis effect	0.29609237399788	0.27022287402771	0.36106915595985206	0.055702650438883	0.8549265182291991	no trans effect	no trans effect	no trans effect	no trans effect	no trans effect	no trans effect	0.27022287402771	-0.210731624808443	0.960812812080477	no cis/trans int. effect	no cis/trans int. effect
h.5	chr1	65533428.0	intergenic	chr1:65533390..65533443,-	ENSG00000231485.1	lncRNA	0.841111	m.4	chr4	101029317.0	intergenic	chr4:101029310..101029334,-	ENSMUSG00000086782.2	other	0.4975	tile1	human	biotype switch	3.67473360116592	4.97667639572878	3.22313650025313	2.2853880771766897	1.3680396429328101e-14	1.75316873250304e-23	1.72748337306112e-10	0.00382592930760775	-0.7893021436738191	0.00100728696968509	no native effect	no native effect	-0.572025616174859	0.0421397816258488	-1.2338149933716	1.7880959910794302e-07	no cis effect	significant cis effect	no cis effect	"cis effect
(higher in human)"	significant cis effect	"cis effect
(higher in human)"	-1.2338149933716	0.44966825543547795	0.00337377696102708	-0.278080918146318	0.302209654971241	significant trans effect	no trans effect	"trans effect
(higher in mouse)"	no trans effect	significant trans effect	"trans effect
(higher in mouse)"	0.44966825543547795	-0.7409126906048159	0.152051073348366	no cis/trans int. effect	no cis/trans int. effect
h.6	chr1	65533462.0	intergenic	chr1:65533457..65533465,-	ENSG00000231485.1	lncRNA	0.116667	m.4	chr4	101029317.0	intergenic	chr4:101029310..101029334,-	ENSMUSG00000086782.2	other	0.4975	tile1	human	biotype switch	3.19389225056621	3.43899084085118	3.22313650025313	2.2853880771766897	3.00383546171375e-10	2.6554470182457897e-09	1.72748337306112e-10	0.00382592930760775	-1.67594619040754	1.68989225514053e-12	significant native effect	"native effect
(higher in human)"	-1.45671674565796	1.5907922187078202e-08	-1.89815933328518	9.98809657223885e-15	significant cis effect	significant cis effect	"cis effect
(higher in human)"	"cis effect
(higher in human)"	significant cis effect	"cis effect
(higher in human)"	-1.89815933328518	0.24340630660814602	0.12918750617243302	-0.270645687652059	0.34437499013370904	no trans effect	no trans effect	no trans effect	no trans effect	no trans effect	no trans effect	-0.270645687652059	-0.528463574050694	0.3798490489754221	no cis/trans int. effect	no cis/trans int. effect
h.7	chr1	71547031.0	divergent	chr1:71547013..71547057,+	ENSG00000229956.5	lncRNA	0.401111	m.5	chr3	157197051.0	divergent	chr3:157197041..157197058,-	ENSMUSG00000105834.1	lncRNA	0.2925	tile1	human	lncRNA	10.1633787560315	10.7761247152901	9.51368144070666	9.88422777015158	7.028182140698018e-155	5.231197897547728e-139	5.710422792361439e-134	7.231566805990368e-115	-0.0440555085185275	0.8806484312511501	no native effect	no native effect	-0.23025028006002898	0.34145612337398806	-0.240320572519563	0.40553930276856104	no cis effect	no cis effect	no cis effect	no cis effect	no cis effect	no cis effect	-0.240320572519563	0.223912258426022	0.11509737457598401	0.18007379094157602	0.58195087276537	no trans effect	no trans effect	no trans effect	no trans effect	no trans effect	no trans effect	0.223912258426022	9.27188502946567e-05	1.0	no cis/trans int. effect	no cis/trans int. effect
h.8	chr1	95975698.0	intergenic	chr1:95975684..95975731,+	ENSG00000228971.2	other	0.09	m.6	chr3	120589658.0	intergenic	chr3:120589646..120589664,-	ENSMUSG00000098097.7	lncRNA	0.0	tile1	human	biotype switch	0.769693552503645	0.8729781301460742	0.90521369244372	1.0301373742353899	0.8114880604425458	0.793447225008453	0.7605332628174158	0.756274316720292	-0.204533308559378	0.540463166587846	no native effect	no native effect	-0.301075554726157	0.35307868482980104	-0.514845290978643	0.10227371213719999	no cis effect	no cis effect	no cis effect	no cis effect	no cis effect	no cis effect	-0.514845290978643	0.292222777001433	0.16751717188482998	0.16289880003326598	0.628791453991461	no trans effect	no trans effect	no trans effect	no trans effect	no trans effect	no trans effect	0.292222777001433	-0.0848051892518637	0.9911147462268158	no cis/trans int. effect	no cis/trans int. effect
h.9	chr1	98515153.0	intergenic	chr1:98515146..98515159,-	ENSG00000225206.4	lncRNA	0.0	m.7	chr3	118133265.0	intergenic	chr3:118133217..118133286,+	ENSMUSG00000097311.7	other	0.05125	tile1	human	biotype switch	0.9822806166877641	0.969582491963996	1.19679861832574	1.1069501223079299	0.712989162370009	0.7691510970120979	0.494556381461086	0.7284909708570941	0.784386095134038	6.960963216201221e-05	no native effect	no native effect	0.7091203447212819	3.18193048923945e-05	0.5949495360550171	0.007280627899708691	no cis effect	no cis effect	no cis effect	no cis effect	no cis effect	no cis effect	0.7091203447212819	0.19023343085838199	0.36157258289947597	0.0759450609990426	0.740539096553285	no trans effect	no trans effect	no trans effect	no trans effect	no trans effect	no trans effect	0.19023343085838199	-0.13581025397326701	0.9695217443247909	no cis/trans int. effect	no cis/trans int. effect
h.10	chr1	98515194.0	intergenic	chr1:98515173..98515200,-	ENSG00000225206.4	lncRNA	0.0	m.7	chr3	118133265.0	intergenic	chr3:118133217..118133286,+	ENSMUSG00000097311.7	other	0.05125	tile1	human	biotype switch	0.9862212983126241	0.979387986730313	1.19679861832574	1.1069501223079299	0.7104852415441071	0.76695187139496	0.494556381461086	0.7284909708570941	0.293429858686111	0.106873609105854	no native effect	no native effect	0.23063474922211	0.145680880617056	0.0820595449820113	0.734312661031537	no cis effect	no cis effect	no cis effect	no cis effect	no cis effect	no cis effect	0.23063474922211	0.196168925269794	0.2202336533323	0.0768592566217026	0.691084170705802	no trans effect	no trans effect	no trans effect	no trans effect	no trans effect	no trans effect	0.196168925269794	-0.159364970514074	0.932296767488129	no cis/trans int. effect	no cis/trans int. effect
h.11	chr1	101491462.0	divergent	chr1:101491406..101491471,+	ENSG00000233184.2	other	5.603330000000001	m.8	chr3	115591014.0	divergent	chr3:115591004..115591055,-	ENSMUSG00000054426.11	other	3.8625	tile1	human	other	17.7232608487643	11.2572314869631	14.813085061237302	11.2760998829843	0.0	5.405840905317909e-153	0.0	1.4857040594792196e-153	-0.722856390228843	0.0113053123687485	no native effect	no native effect	-0.625093182287265	0.0239732837173982	-0.3979006898687679	0.204893436522107	no cis effect	no cis effect	no cis effect	no cis effect	no cis effect	no cis effect	-0.625093182287265	-0.309813089800072	0.20272246436883398	-0.0952374188649758	0.7247808322822459	no trans effect	no trans effect	no trans effect	no trans effect	no trans effect	no trans effect	-0.309813089800072	0.22553020998254802	0.9327516376440992	no cis/trans int. effect	no cis/trans int. effect
h.12	chr1	101702171.0	divergent	chr1:101702167..101702180,-	ENSG00000225938.1	lncRNA	0.0133333	m.9	chr3	115418088.0	divergent	chr3:115418074..115418090,+	ENSMUSG00000052769.7	lncRNA	0.155	tile1	human	lncRNA	3.1041674702063196	1.871684470612	3.24082231278916	2.37086350427832	1.56071892558904e-09	0.0710581872661777	1.23141516167692e-10	0.0018139626592968698	0.7181588378246351	0.00151601572277144	no native effect	no native effect	0.873436481794144	3.79334715777896e-05	1.05175203406081	6.028177762079449e-05	no cis effect	significant cis effect	no cis effect	"cis effect
(higher in mouse)"	significant cis effect	"cis effect
(higher in mouse)"	1.05175203406081	-0.32992814165637796	0.19372814858602	-0.17005895039975	0.324417372942611	no trans effect	no trans effect	no trans effect	no trans effect	no trans effect	no trans effect	-0.32992814165637796	0.150933062457924	0.9695217443247909	no cis/trans int. effect	no cis/trans int. effect
h.13	chr1	145096407.0	intergenic	chr1:145096387..145096477,+	ENSG00000223380.3	mRNA	31.8444	m.10	chr3	97705149.0	protein_coding	chr3:97705122..97705173,+	ENSMUSG00000027879.9	mRNA	25.7075	tile1	human	mRNA	15.8210449948404	14.6106220939397	21.102141978606802	19.783174319426898	0.0	2.2827261058764388e-269	0.0	0.0	0.53433130593665	0.0743729124321238	no native effect	no native effect	0.476526262052346	0.11347327078709402	0.530320960826948	0.0724255650464254	no cis effect	no cis effect	no cis effect	no cis effect	no cis effect	no cis effect	0.530320960826948	0.0506696630278378	0.8448113382573409	0.0615777357573306	0.8093283508761209	no trans effect	no trans effect	no trans effect	no trans effect	no trans effect	no trans effect	0.0615777357573306	0.0971575091235983	0.9911147462268158	no cis/trans int. effect	no cis/trans int. effect
h.17	chr1	155531820.0	divergent	chr1:155531819..155531833,+	ENSG00000235919.3	other	0.712222	m.12	chr3	88755084.0	protein_coding	chr3:88755068..88755135,-	ENSMUSG00000068921.14	mRNA	3.07375	tile1	human	biotype switch	1.5753948210486102	1.71710274472397	2.3433369883912003	1.60640252736406	0.10689034221344501	0.159052058992408	0.000132692046476124	0.253926757844378	1.47355134222917	1.41684872912229e-08	significant native effect	"native effect
(higher in mouse)"	1.71955519191102	9.8348760553286e-11	1.0460383103161601	3.9869539908479795e-05	significant cis effect	significant cis effect	"cis effect
(higher in mouse)"	"cis effect
(higher in mouse)"	significant cis effect	"cis effect
(higher in mouse)"	1.71955519191102	0.376200593769658	0.222157991950128	-0.23810873400475302	0.188969334148168	no trans effect	no trans effect	no trans effect	no trans effect	no trans effect	no trans effect	0.376200593769658	-0.652684607721829	0.280323280948865	no cis/trans int. effect	no cis/trans int. effect
h.18	chr1	173604476.0	antisense	chr1:173604472..173604481,+	ENSG00000232113.1	lncRNA	0.04	m.13	chr1	163089443.0	antisense	chr1:163089441..163089445,-	ENSMUSG00000049160.15	lncRNA	0.0	tile1	human	lncRNA	1.16889593448358	2.3000345839524	0.9519569209376422	1.10021615403124	0.527988431150115	0.00338504283345215	0.7328842670757421	0.730987784360674	-0.0601955714976542	0.818816743294516	no native effect	no native effect	-0.4387748313414361	0.049601353441449	-0.8531355919517021	0.00022209177857889103	no cis effect	no cis effect	no cis effect	no cis effect	no cis effect	no cis effect	-0.8531355919517021	0.8627677049438341	1.29555220449125e-07	0.33691037089058196	0.0918686719106876	significant trans effect	no trans effect	"trans effect
(higher in mouse)"	no trans effect	significant trans effect	"trans effect
(higher in mouse)"	0.8627677049438341	-0.4270799929680871	0.560843293649881	no cis/trans int. effect	no cis/trans int. effect
h.21	chr1	185286599.0	divergent	chr1:185286578..185286606,+	ENSG00000273004.1	lncRNA	0.0744444	m.16	chr1	153191467.0	divergent	chr1:153191448..153191483,-	ENSMUSG00000100954.4	lncRNA	1.65625	tile1	human	lncRNA	2.3301242389084	2.59341065329953	5.60249616927205	7.57740118462761	0.000154761993161984	0.00020422347204145	2.3277474912784196e-40	3.7251732597498796e-63	1.87777630050878	3.01825770514114e-10	significant native effect	"native effect
(higher in mouse)"	1.28639785245102	1.54378262204702e-05	1.56314292579851	7.49625920000234e-07	significant cis effect	significant cis effect	"cis effect
(higher in mouse)"	"cis effect
(higher in mouse)"	significant cis effect	"cis effect
(higher in mouse)"	1.56314292579851	0.343918572043795	0.19991761796885102	0.46360896899653004	0.0376356832691544	no trans effect	no trans effect	no trans effect	no trans effect	no trans effect	no trans effect	0.46360896899653004	0.10790941862654	0.9911147462268158	no cis/trans int. effect	no cis/trans int. effect
