GENE,Human,Chimpanzee,Gorilla,Macaque,Marmoset,Mouse Lemur,Rat,Mouse,Rabbit,Cow,Pig,Cat,Microbat,Horse,Opossum,Platypus,Chicken,Zebra Finch,Chinese softshell turtle,Anole lizard,Xenopus,Medaka,Tetraodon,Fugu,Cod,Zebrafish,Spotted gar,Lamprey,C.savignyi,C.intestinalis,Fruitfly,C. elegans,S. cerevisiae
KLF15#ENSG00000163884,100,87.5,98.6,97.8,93.5,,83.7,85.1,86.1,80.5,77.4,84.9,88.7,84.4,60.8,69.5,67.3,55.8,51.9,32,62,53.8,32.5,51.2,55,57.7,59.6,28.1,,28.6,20.4,,10.1
PRMT3#ENSG00000185238,100,99.6,89.8,90.2,96.8,51.4,89.3,90,93,91.1,34.8,93.2,93,91.3,85.1,83.1,69.7,70.1,71,67.8,60.1,57.6,50.5,58.2,57.4,59.1,62.9,,,45,37.9,,27.7
KDM2A#ENSG00000173120,100,100,71.3,99.6,99.5,99.6,97.8,97.3,99.1,87.1,30.1,98.3,93.5,99,95.4,29.4,52.5,87.8,36.7,85.1,40.2,55,53.1,55.1,53.4,55.4,47.7,,33.1,29.9,36.9,,11.1
FOXJ2#ENSG00000065970,100,99.3,19.3,98.6,97.9,93.7,90.8,90.2,92.5,91.8,19.7,90.8,92.7,95.3,85.2,51.9,79.3,71.3,80.1,75.4,40.9,24.2,28.6,29.4,25.8,28.2,14.8,,,,,,15
KLF12#ENSG00000118922,100,99.5,100,98,99.8,97,96.3,97,85.1,96.3,55.2,54.2,92.8,93,91.3,,88.6,39.6,87.8,84.3,80.3,67.7,68.9,70.6,56.5,68.9,77.9,21.9,24.9,26.1,27.9,,9.7
RFX2#ENSG00000087903,100,96.4,97.9,98.8,81.3,95.2,88.5,87.4,82.4,89.8,,76.9,91.1,93.4,83.5,76.8,84.4,81.6,83.8,,78.6,69.7,75,75.8,73.9,75.4,77.9,,,,,,8.9
FOXO3#ENSG00000118689,100,99.9,98.7,99.6,98.5,97.2,94.5,94.7,94.7,96.3,96.3,67.8,95.7,66,86,56.3,81.6,71,74,,71.8,58.4,54.2,57.2,35.8,56.2,71.2,6.5,31.5,10.8,29.1,21.5,12.3
KCNIP3#ENSG00000115041,100,99.6,99.2,98,94.5,95.3,93.4,80.9,91,,73.4,94.1,73.4,60.5,89.1,59.4,60.9,,69.1,,82.8,77.7,73.4,76.2,77.7,75.8,44.9,56.6,40.2,41.8,45.7,27.3,31.6
FOXQ1#ENSG00000164379,100,77.9,0,0,0,0,0,79.7,0,0,73.7,0,0,0,62.5,0,0,0,0,0,40,0,0,36.2,36.5,43.2,40.4,32,34,33.5,0,16.9,15.1
GLI4#ENSG00000250571,100,99.5,0,0,87.8,0,71,0,0,0,75.8,0,0,0,67.3,0,0,0,0,0,0,28.5,25.8,27.1,0,32.2,33.5,17.8,0,21.8,24.5,0,23.4
EGR4#ENSG00000135625,100,99.3,82,0,93.9,91.3,70.8,70.3,90.3,73.2,73.9,75.6,0,73.7,56.2,0,34.8,0,0,0,31.2,22.2,0,18.2,12.2,20,22.4,0,0,0,25.3,0,6.8
GATA6#ENSG00000141448,100,78.5,97.3,91.6,89.7,0,89.9,89.2,33.8,54.8,93.4,62.2,38.8,25.9,78.5,24.9,50.3,54.6,63.9,49.6,51.4,47.4,47.9,47.4,47.1,46.2,52.6,15.8,0,0,26.2,0,15.1
BPTF#ENSG00000171634,100,99.4,36.9,96,61.8,93.5,70.9,83,83.7,83.8,0,85.5,84.3,85,74.6,69.3,67,35.4,68.6,29.3,58.8,44.1,49.1,50.1,43.6,52.2,58.2,44.6,0,0,27,18.1,2.6
TBPL2#ENSG00000182521,100,99.5,98.4,95.7,85.1,78.9,60,62.1,78.4,79.5,78.9,18.1,79.5,53.3,66.7,29.6,60.3,58.9,57.6,26.1,60.8,0,53.1,0,49.3,53.9,0,0,46.9,46.1,47.5,45.9,39.7
GTF3A#ENSG00000122034,100,99.7,99.5,96.4,92.9,84.9,78.9,77.8,83,78.6,82.2,72.3,79.7,70.1,71,57.3,62.5,58.4,37.5,53.2,52.6,30.7,43.6,43,43.8,46,50.4,41.4,0,27.7,25.2,0,12.9
MYBL2#ENSG00000101057,100,96.6,89.7,98.3,94.7,81.9,87.3,84.4,88.4,84.3,64.7,90.9,78.1,89,70.9,46.1,69.6,56.4,68.1,65.4,52.6,17.6,44.9,45.1,44.6,48.1,47.1,0,0,25.3,26.1,0,9.7
FOXO1#ENSG00000150907,100,100,99.2,99.1,83.2,96.2,92.1,92.7,61.2,90.1,95,64.9,69.3,57.6,85.3,62.3,76.3,77.4,47.9,66.4,0,56.5,48.2,56.2,55.6,57.3,64.7,6.3,31,11.1,29.8,24.7,12.5
FOXP2#ENSG00000128573,100,96.4,70.8,99.6,99.3,88.8,95.4,96.1,98.5,78.2,83.5,61.6,81.9,98.4,94.7,87.3,94.6,83.8,93.9,94.9,89.1,57.6,63,76.6,63.9,77,82.7,18.6,0,0,23.5,27.7,11.8
